"O45,3",CORE B TO WINDING POSITION FORWARD TURRET,,
"O45,4",FREE,,
"O45,5",FREE,,
"O45,6",FREE,,
"O45,7",FREE,,
"O45,8",FREE,,
"O45,9",FREE,,
"O45,A",FREE,,
"O45,B",FREE,,
"O45,C",FREE,,
"O45,D",FREE,,
"O45,E",FREE,,
"O45,F",FREE,,
,,,
"O47,0",CORE A TO WINDING POSITION,,
"O47,1",PRL L120+1,,
"O47,2",FREE,,
"O47,3",TURRET ROTATION,,
"O47,4",CORE A TO WINDING POSITION,,
"O47,5",,,
"O47,6",,,
"O47,7",,,
"O47,8",,,
"O47,9",,,
"O47,A",,,
"O47,B",,,
"O47,C",,,
"O47,D",,,
"O47,E",,,
"O47,F",,,
,,,
"O53,0",MAIN PNEUMATIC CIRCUIT,,
"O53,1",ALARMS TREATMENT (CHUCK RETRACT),,
"O53,2",(FREE),,
"O53,3",(FREE),,
"O53,4",CARRIAGE HYDRAULIC PUMP,,
"O53,5",(FREE),,
"O53,6",PINNING BAR,,
"O53,7",(FREE),,
"O53,8",CARRIAGE BACKWARD,,
"O53,9",CARRIAGE LOW SPEED,,
"O53,A",CARRIAGE FAST SPEED,,
"O53,B",CARRIAGE RAMP VALIDATION,,
"O53,C",CORE A UNLOCK,,
"O53,D",CORE B UNLOCK,,
"O53,E",TURRET UNLOCK,,
"O53,F",CONTACT ROLL UNLOCK,,
,,,
"O54,0",UNLOADING IN PROGRESS (to CMA unloading system),,
"O54,1",CHUCKS OPEN (to CMA unloading system),,
"O54,2",CHUCKS CLOSE (to CMA unloading system),,
"O54,3",(FREE),,
"O54,4",(FREE),,
"O54,5",(FREE),,
"O54,6",(FREE),,
"O54,7",(FREE),,
"O54,8",MAST SR6 L352,,
"O54,9",WINDER RUNNING,,
"O54,A",(FREE),,
"O54,B",(FREE),,
"O54,C",(FREE),,
"O54,D",(FREE),,
"O54,E",(FREE),,
"O54,F",(FREE),,
,,,
"O55,0",FREE,,
"O55,1",FREE,,
"O55,2",FREE,,
"O55,3",FREE,,
"O55,4",FREE,,
"O55,5",CONTACT MODE OR GAP MODE,,
"O55,6",CONTACT MODE OR GAP MODE,,
"O55,7",FREE,,
"O55,8",FREE,,
"O55,9",FREE,,
"O55,A",FREE,,
"O55,B",FREE,,
"O55,C",FREE,,
"O55,D",FREE,,
"O55,E",FREE,,
"O55,F",FREE,,
,,,
"OW4,3",CORE A SPEED,,
"OW4,4",CORE A CURRENT,,
"OW4,5",CORE B SPEED,,
"OW4,6",CORE B CURRENT,,
,,,
"OW5,3",CONTACT ROLL SPEED,,
"OW5,4",CONTACT FORCE ,,
"OW5,5",CONTACT FORCE SETPOINT,,
"OW5,6",CARRIAGE POSITION SETPOINT,,
,,,
"OW6,3",DIAMETER,,
"OW6,4",(FREE),,
"OW6,5",CONTACT ROLL CURRENT LIMITATION,,
"OW6,6",(FREE),,
,,,
,,,
,,,
