NO. ,TAGNAME ,DESCRIPTION
W4200,AOSPR387,SETPOINT    R387
W4201,AOOUR387,OUTPUT
W4202,AOPR387,PROPORTIONAL VALUE
W4203,AOINR387,INTEGRAL
W4204,AODER387,DERIVATIVE
W4205,AOAH+72,HIGH ALARM
W4206,AOAH+73,H+/L- (CONTROL OUT OF RANGE)
W4207,AOAH+74,LOW ALARM
W4208,,
W4209,AOSPR388,SETPOINT    R388
W4210,AOOUR388,OUTPUT
W4211,AOPR388,PROPORTIONAL VALUE
W4212,AOINR388,INTEGRAL
W4213,AODER388,DERIVATIVE
W4214,AOAH+81,HIGH ALARM
W4215,AOAH+82,H+/L- (CONTROL OUT OF RANGE)
W4216,AOAH+83,LOW ALARM
W4217,,
W4218,AOSPR389,SETPOINT    R389
W4219,AOOUR389,OUTPUT
W4220,AOPR389,PROPORTIONAL VALUE
W4221,AOINR389,INTEGRAL
W4222,AODER389,DERIVATIVE
W4223,AOAH+90,HIGH ALARM
W4224,AOAH+91,H+/L- (CONTROL OUT OF RANGE)
W4225,AOAH+92,LOW ALARM
W4226,,
W4227,AOSPR390,SETPOINT    R390
W4228,AOOUR390,OUTPUT
W4229,AOPR390,PROPORTIONAL VALUE
W4230,AOINR390,INTEGRAL
W4231,AODER390,DERIVATIVE
W4232,AOAH+99,HIGH ALARM
W4233,AOAH+100,H+/L- (CONTROL OUT OF RANGE)
W4234,AOAH+101,LOW ALARM
W4235,,
W4236,AOSPR391,SETPOINT    R391
W4237,AOOUR391,OUTPUT
W4238,AOPR391,PROPORTIONAL VALUE
W4239,AOINR391,INTEGRAL
W4240,AODER391,DERIVATIVE
W4241,AOAH+108,HIGH ALARM
W4242,AOAH+109,H+/L- (CONTROL OUT OF RANGE)
W4243,AOAH+110,LOW ALARM
W4244,,
W4245,AOSPR392,SETPOINT    R392
W4246,AOOUR392,OUTPUT
W4247,AOPR392,PROPORTIONAL VALUE
W4248,AOINR392,INTEGRAL
W4249,AODER392,DERIVATIVE
W4250,AOAH+117,HIGH ALARM
W4251,AOAH+118,H+/L- (CONTROL OUT OF RANGE)
W4252,AOAH+119,LOW ALARM
W4253,,
W4254,AOSPR393,SETPOINT    R393
W4255,AOOUR393,OUTPUT
W4256,AOPR393,PROPORTIONAL VALUE
W4257,AOINR393,INTEGRAL
W4258,AODER393,DERIVATIVE
W4259,AOAH+0,HIGH ALARM
W4260,AOAH+1,H+/L- (CONTROL OUT OF RANGE)
W4261,AOAH+2,LOW ALARM
W4262,,
W4263,AOSPR394,SETPOINT    R394
W4264,AOOUR394,OUTPUT
W4265,AOPR394,PROPORTIONAL VALUE
W4266,AOINR394,INTEGRAL
W4267,AODER394,DERIVATIVE
W4268,AOAH+9,HIGH ALARM
W4269,AOAH+10,H+/L- (CONTROL OUT OF RANGE)
W4270,AOAH+11,LOW ALARM
W4271,,
W4272,AOSPR395,SETPOINT    R395
W4273,AOOUR395,OUTPUT
W4274,AOPR395,PROPORTIONAL VALUE
W4275,AOINR395,INTEGRAL
W4276,AODER395,DERIVATIVE
W4277,AOAH+18,HIGH ALARM
W4278,AOAH+19,H+/L- (CONTROL OUT OF RANGE)
