PLC ADR,ALIAS TO ,DESCRIPTION,UNIT,,
CW[205],,FREE,,,
CW[206],,FREE,,,
CW[207],,FREE,,,
CW[208],,FREE,,,
CW[209],,FREE,,,
CW[210],,SCALE DIVIDER FOR SPEED EXT1,RpM -> .1RpM,,pg 69
CW[211],,SCALE DIVIDER FOR SPEED EXT2,RpM -> .1RpM,,
CW[212],,SCALE DIVIDER FOR SPEED SAT1,RpM -> .1RpM,,
CW[213],,SCALE DIVIDER FOR SPEED SAT2,RpM -> .1RpM,,
CW[214],,SCALE DIVIDER FOR SPEED CR,RpM -> .1FpM,,
CW[215],,SCALE DIVIDER FOR SPEED MDO1,RpM -> .1FpM,,
CW[216],,SCALE DIVIDER FOR SPEED MDO2,RpM -> FpM,,
CW[217],,SCALE DIVIDER FOR SPEED MDO3,RpM -> FpM,,
CW[218],,SCALE DIVIDER FOR SPEED TDO,RpM -> FpM,,
CW[219],,SCALE DIVIDER FOR SPEED PRS1,RpM -> FpM,,
CW[220],,SCALE DIVIDER FOR SPEED PRS2,RpM -> FpM,,
CW[221],,SCALE DIVIDER FOR CURRENT EXT1,AmP -> AmP,,
CW[222],,SCALE DIVIDER FOR CURRENT EXT2,AmP -> AmP,,
CW[223],,SCALE DIVIDER FOR CURRENT SAT1,AmP -> AmP,,
CW[224],,SCALE DIVIDER FOR CURRENT SAT2,AmP -> AmP,,
CW[225],,SCALE DIVIDER FOR CURRENT CR,.1AmP -> .1AmP,,
CW[226],,SCALE DIVIDER FOR CURRENT MDO1,AmP -> .1AmP,,
CW[227],,SCALE DIVIDER FOR CURRENT MDO2,AmP -> AmP,,
CW[228],,SCALE DIVIDER FOR CURRENT MDO3,AmP -> AmP,,
CW[229],,SCALE DIVIDER FOR CURRENT TDO,AmP -> AmP,,
CW[230],,SCALE DIVIDER FOR CURRENT PRS1,.1AmP -> .1AmP,,
CW[231],,SCALE DIVIDER FOR CURRENT PRS2,AmP -> .1AmP,,
CW[232],,FREE,,,
CW[233],,FREE,,,
CW[234],,FREE,,,
