W503  C,"CONTACTOR OF TDO BLOWER M1520.01, E220",
W503  D,"CONTACTOR OF TDO BLOWER M1528.02, E221","I81, 2"
W503  E,"CONTACTOR OF TDO BLOWER M1528.03, E222","I81, 3"
W503  F,"CONTACTOR OF TDO BLOWER M1525.01, E223","I81, 0"
,,
W504  0,"CONTACTOR OF TDO BLOWER M1530.01, E224","I81, 4"
W504  1,,
W504  2,,
W504  3,,
W504  4,,
W504  5,,
W504  6,,
W504  7,,
W504  8,,
W504  9,,
W504  A,,
W504  B,,
W504  C,,
W504  D,,
W504  E,,
W504  F,,
,,
W505  0,,
W505  1,,
W505  2,,
W505  3,,
W505  4,,
W505  5,,
W505  6,,
W505  7,,
W505  8,,
W505  9,,
W505  A,,
W505  B,,
W505  C,,
W505  D,,
W505  E,,
W505  F,,
,,
W506  0,CONTACTOR ANSWER OF CHILL ROLL EXHAUST HOOD  M1263.01,
W506  1,CONTACTOR ANSWER OF CHILL ROLL WATER REMOVAL M1330.01,
W506  2,CONTACTOR ANSWER OF CHILL ROLL AIR KNIFE     M1330.02,
W506  3,CONTACTOR ANSWER OF CHILL ROLL WATER REMOVAL M1330.03,
W506  4,CONTACTOR ANSWER OF CHILL ROLL WATER REMOVAL M1310.03,
W506  5,CONTACTOR ANSWER OF CHILL ROLL WATER REMOVAL M1301.01,
W506  6,CONTACTOR ANSWER OF CHILL ROLL BRAKE         Y1301.02,
W506  7,CONTACTOR ANSWER OF AUXILIARY #1             M1360.01,
W506  8,,
W506  9,,
W506  A,CONTACTOR ANSWER OF AUXILIARY #2             M1450.01,
W506  B,,
W506  C,,
W506  D,,
W506  E,CONTACTOR ANSWER OF TDO CHAIN TENSION SYSTEM M1515.01,
W506  F,,
,,
W507  0,CONTACTOR ANSWER OF VACUUM ROLL NO. 1 BLOWER   M1812.01,
W507  1,CONTACTOR ANSWER OF VACUUM ROLL NO. 2 BLOWER   M1825.01,
W507  2,CONTACTOR ANSWER OF OZONE EXHAUST NO. 1 BLOWER M1831.01,
W507  3,CONTACTOR ANSWER OF OZONE EXHAUST NO. 2 BLOWER M1831.02,
W507  4,CONTACTOR ANSWER OF AUXILIARY WINDER #3,
W507  5,CONTACTOR ANSWER OF OZONE EXHAUST NO. 3 BLOWER M1831.03,
W507  6,,
W507  7,,
W507  8,,
W507  9,,
W507  A,,
W507  B,,
W507  C,,
W507  D,,
W507  E,,
W507  F,,
,,
W508  0,CONTACTOR ANSWER OF OZONE TREATER #1 BLOWER,
W508  1,CONTACTOR ANSWER OF OZONE TREATER #2 BLOWER,
W508  2,CONTACTOR ANSWER OF OZONE TREATER #3 BLOWER,
W508  3,CONTACTOR ANSWER OF OZONE TREATER #4 BLOWER,
W508  4,,
W508  5,,
W508  6,,
W508  7,,
W508  8,,
W508  9,,
W508  A,,
W508  B,,
W508  C,,
W508  D,,
W508  E,,
W508  F,,
,,
W509  0,,
W509  1,,
W509  2,,
W509  3,,
W509  4,,
W509  5,,
W509  6,,
W509  7,,
W509  8,,
W509  9,,
W509  A,,
W509  B,,
W509  C,,
W509  D,,
W509  E,,
W509  F,,
,,
W510  0,"OUTPUT OF CHILL ROLL COOLING SKID,  E160",
W510  1,"OUTPUT OF WATER BATH COOLING SKID,  E161",
