W4400  0,DOSTE 160,START/STOP GAZ HEATER CR C1340
W4400  1,DOSTE 161,START/STOP GAZ HEATER CR C1350
W4400  2,DOSTE 162,START/STOP ELEC. BRAKE Y1301.02
W4400  3,,
W4400  4,,
W4400  5,,
W4400  6,,
W4400  7,,
W4400  8,,
W4400  9,DOSTE 169,"START/STOP GAZ HEATER C1340.13,  E169"
W4400  A,DOSTE 170,START/STOP MDO PUMP E170
W4400  B,DOSTE 171,START/STOP MDO PUMP E171
W4400  C,DOSTE 172,START/STOP MDO PUMP E172
W4400  D,DOSTE 173,START/STOP MDO PUMP E173
W4400  E,DOSTE 174,START/STOP MDO PUMP E174
W4400  F,DOSTE 175,START/STOP MDO PUMP E175
,,
W4401  0,DOSTE 176,START/STOP MDO PUMP E176
W4401  1,DOSTE 177,START/STOP MDO PUMP E177
W4401  2,DOSTE 178,START/STOP MDO PUMP E178
W4401  3,DOSTE 179,START/STOP MDO PUMP E179
W4401  4,DOSTE 180,START/STOP MDO PUMP E180
W4401  5,DOSTE 181,START/STOP MDO PUMP E176
W4401  6,,
W4401  7,,
W4401  8,,
W4401  9,DOSTE 185,START/STOP TDO BLOWER E185
W4401  A,DOSTE 186,START/STOP TDO BLOWER E186
W4401  B,DOSTE 187,START/STOP TDO BLOWER E187
W4401  C,DOSTE 188,START/STOP TDO BLOWER E188
W4401  D,DOSTE 189,START/STOP TDO BLOWER E189
W4401  E,DOSTE 190,START/STOP TDO BLOWER E190
W4401  F,DOSTE 191,START/STOP TDO BLOWER E191
,,
W4402  0,DOSTE 192,START/STOP TDO BLOWER E192
W4402  1,DOSTE 193,START/STOP TDO BLOWER E193
W4402  2,DOSTE 194,START/STOP TDO BLOWER E194
W4402  3,DOSTE 195,START/STOP TDO BLOWER E195
W4402  4,DOSTE 196,START/STOP TDO BLOWER E196
W4402  5,DOSTE 197,START/STOP TDO BLOWER E197
W4402  6,DOSTE 198,START/STOP TDO BLOWER E198
W4402  7,DOSTE 199,START/STOP TDO BLOWER E199
W4402  8,DOSTE 200,START/STOP TDO BLOWER E200
W4402  9,DOSTE 201,START/STOP TDO BLOWER E201
W4402  A,DOSTE 202,START/STOP TDO BLOWER E202
W4402  B,DOSTE 203,START/STOP TDO BLOWER E203
W4402  C,DOSTE 204,START/STOP TDO BLOWER E204
W4402  D,DOSTE 205,START/STOP TDO BLOWER E205
W4402  E,DOSTE 206,START/STOP TDO BLOWER E206
W4402  F,DOSTE 207,START/STOP TDO BLOWER E207
,,
W4403  0,DOSTE 208,START/STOP TDO BLOWER E208
W4403  1,DOSTE 209,START/STOP TDO BLOWER E209
