FAST ,,LENGTH COUNTER TREATMENT ,MARK
,L40,STOP/FAULT ,
,L110,MOTOR RUN (CORE B),
,L120,UNLOCKING ,
,L130,STOP/FAULT ,
,L200,TURRET,
,L210,TURRET MOTOR RUN,
,L220,UNLOCKING ,
,L230,STOP /FAULT,
,L300,CONTACT ROLL,
,L310,MOTOR RUN,
,L320,UNLOCKING ,
,L330,STOP/FAULT ,
SR3,,"CONFIGURATIONG FOR  AEM 411 #1 , #2 , #3 CTM FAST  COUNTER",
SR4,L1,CALL PAGE ,
,L2,CALL  MESSAGE ,
SR5,L10,THICKNESS,
,L20,LENGTH,
,L40,PRESSURE,
,L50,TENSION,
,L60,CONTACT ROLL DRAW,
,L70,GAP,
,L80,CALL MESSAGE ,
SR6,L10,CARRIAGE HYDRAULIC PUMP,
,L22,AUTOMATIC CONTROL,
,L24,KNIFE MANUAL CONTROL ,
,L25,KNIFE MEM,
,L40,KNIFE ORDER,
,L45,PINNING BAR ORDER,
,L49,CUTTING  ARM MANUAL CONTRAL INTERLOCK,
,L50,CUTTING ARM MEM,
,L55,CUTTING ARM ORDER ,
,L60,LEFT & RIGHT SPREADERS,
,L65,TURN LIGHT,
,L70,HORN,
,L80,CARRIAGE MANUAL CONTROL ,
,L90,CARRIAGE REVERSE ORDER,
,L110,CARRIAGE FORWARD ORDER ,
,L120,CARRIAGE LOW FORWARD ORDER,
,L125,CARRIAGE  RAMP CONTROL ,
,L141,TURRET ROTATION CONDITION ,
,L142,TURRET CONDITION ,
,L145,TURRET AUTO CUTTING,
,L147,TURRET MANUAL ROTATION,
,L148,FUNCTION TEST ROTATION ,
,L150,TURRET ROTATION                                               TURRET LOCKING IN WINDING  POSITION ,
,L154,CORE A ORDER MEM                                           ,
,L155,CORE B ORDER  MEM                                          ,
,L156,CORE A JOG MEM,
,L159,CORE A ORDER,
,L160,CORE A ORDER,
,L161,CORE A IN MANUAL MODE ,
,L163,CORE B JOG  MEM,
,L164,CORE B ORDER,
,L165,CORE B ORDER,
,L166,CORE B IN MANUAL MODE,
,L167,CONTACT ROLL ORDER ,
,L169,STOP ROLL IF WEB BREAK,
,L170,END OF ROLL,
,L175,PNEUMATIC  LOCKING DEVICE ,
,L180,LINE RECORDER CURRENT ,
,L210,CONTACT ROLL CONTROL ,
,L220,WINDER DEFECT,
,L230,CHUCKS INTERLOCK,
,L300,CHUCKS ORDER,
SR7,L5,SET POINT - MEASURE,
,L10,PROPORTIONAL  ACTION,
,L15,INTEGRAL ACTION,
,L25,(AP+AI)*XP->OUTPUT,
SR8,L10,INIT,
,L20,TREATMENT - STORAGE,
,L30,CONTROL  OF READ WRITE POINTER ,
,L40,CONTROL OF MAIN POINTER,
SR9,L10,CORE A TO WINDING  POSITION ,
,L20,CORE B TO WINDING  POSITION,
SR10,L10,CORE A TO WINDING  POSITION ,
,L20,CORE B TO WINDING  POSITION,
SR11,,TURRET MANUAL CUTTING ROTATION ,
,,,
