PLC ADD ,Comment ,Unit,Mark 
CW141,CCW ROTATION OUTPUT MATRIX (1 / 2 Rot) ,,
CW142,THRESHOLD HYSTERESIS VALUE ,,
CW143,,,
CW144,MAXI NUMBER OF POINTS PER ROTATION ,,
CW145,MAXI NUMBER OF POINTS PER ROTATION ,,
CW146,TURRET POSITION G WHEN CCW ROTATION,,
CW147,TURRET POSITION G WHEN CCW ROTATION,,
CW148,TURRET POSITION B WHEN CCW ROTATION,,
CW149,TURRET POSITION B WHEN CCW ROTATION,,
CW150,CARRIAGE POSITION  DIRECTION MAXI THRESHOLD ,,
CW151,CARRIAGE POSITION  DIRECTION MINI THRESHOLD ,,
CW152,CARRIAGE NEGATIVE  DIRECTION MAXI THRESHOLD ,,
CW153,CARRIAGE NEGATIVE  DIRECTION MINI THRESHOLD ,,
CW154,,,
CW155,100/PROPORTIONAL COEFFICIENT (<0),150,
CW156,100/PROPORTIONAL COEFFICIENT (<0),200,
CW157,100/INTEGRAL COEFFICIENT,0,
CW158,100/GENERAL COEFFICIENT   ,110,
CW159,,,
CW160,,,
CW161,,,
CW162,,,
CW163,,,
CW164,,,
CW165,,,
CW166,,,
CW167,,,
CW168,,,
CW169,,,
CW170,,,
CW171,,,
CW172,,,
CW173,,,
CW174,,,
CW175,,,
CW176,,,
CW177,,,
CW178,,,
CW179,,,
CW180,(ESC T) XBT-V MESSAGE                                    Nb 0 ,,
CW181,(ESC T) XBT-V MESSAGE                                    Nb 0 ,,
CW182,(ESC T) XBT-V MESSAGE                                    Nb 0 ,,
CW183,(ESC T) XBT-V MESSAGE                                    Nb 0 ,,
CW184,(ESC T) XBT-V MESSAGE                                    Nb 0 ,,
CW185,(ESC T) XBT-V MESSAGE                                    Nb 0 ,,
CW186,(ESC T) XBT-V MESSAGE                                    Nb 0 ,,
CW187,(ESC T) XBT-V MESSAGE                                    Nb 0 ,,
CW188,(ESC T) XBT-V MESSAGE                                    Nb 0 ,,
CW189,(ESC T) XBT-V MESSAGE                                    Nb 0 ,,
CW190,(ESC T) XBT-V MESSAGE                                    Nb 0 ,,
CW191,(ESC T) XBT-V MESSAGE                                    Nb 0 ,,
CW192,(ESC T) XBT-V MESSAGE                                    Nb 1,,
CW193,(ESC T) XBT-V MESSAGE                                    Nb 1,,
CW194,(ESC T) XBT-V MESSAGE                                    Nb 1,,
CW195,(ESC T) XBT-V MESSAGE                                    Nb 1,,
CW196,(ESC T) XBT-V MESSAGE                                    Nb 1,,
CW197,(ESC T) XBT-V MESSAGE                                    Nb 1,,
CW198,(ESC T) XBT-V MESSAGE                                    Nb 1,,
CW199,(ESC T) XBT-V MESSAGE                                    Nb 1,,
CW200,(ESC T) XBT-V MESSAGE                                    Nb 1,,
CW201,(ESC T) XBT-V MESSAGE                                    Nb 1,,
CW202,(ESC T) XBT-V MESSAGE                                    Nb 1,,
CW203,(ESC T) XBT-V MESSAGE                                    Nb 1,,
CW204,(ESC T) XBT-V MESSAGE                                    Nb 1,,
CW205,(ESC T) XBT-V MESSAGE                                    Nb 1,,
CW206,(ESC T) XBT-V MESSAGE                                    Nb 1,,
CW207,(ESC T) XBT-V MESSAGE                                    Nb 1,,
CW208,(ESC T) XBT-V MESSAGE                                    Nb 2,,
CW209,(ESC T) XBT-V MESSAGE                                    Nb 2,,
CW210,(ESC T) XBT-V MESSAGE                                    Nb 2,,
CW211,(ESC T) XBT-V MESSAGE                                    Nb 2,,
CW212,(ESC T) XBT-V MESSAGE                                    Nb 2,,
CW213,(ESC T) XBT-V MESSAGE                                    Nb 2,,
CW214,(ESC T) XBT-V MESSAGE                                    Nb 2,,
CW215,(ESC T) XBT-V MESSAGE                                    Nb 2,,
CW216,(ESC T) XBT-V MESSAGE                                    Nb 2,,
CW217,(ESC T) XBT-V MESSAGE                                    Nb 2,,
CW218,(ESC T) XBT-V MESSAGE                                    Nb 2,,
CW219,(ESC T) XBT-V MESSAGE                                    Nb 2,,
CW220,(ESC T) XBT-V MESSAGE                                    Nb 2,,
CW221,(ESC T) XBT-V MESSAGE                                    Nb 2,,
CW222,(ESC T) XBT-V MESSAGE                                    Nb 3,,
CW223,(ESC T) XBT-V MESSAGE                                    Nb 3,,
CW224,(ESC T) XBT-V MESSAGE                                    Nb 3,,
CW225,(ESC T) XBT-V MESSAGE                                    Nb 3,,
CW226,(ESC T) XBT-V MESSAGE                                    Nb 3,,
CW227,(ESC T) XBT-V MESSAGE                                    Nb 3,,
CW228,(ESC T) XBT-V MESSAGE                                    Nb 3,,
CW229,(ESC T) XBT-V MESSAGE                                    Nb 3,,
CW230,(ESC T) XBT-V MESSAGE                                    Nb 3,,
CW231,(ESC T) XBT-V MESSAGE                                    Nb 3,,
CW232,(ESC T) XBT-V MESSAGE                                    Nb 3,,
CW233,(ESC T) XBT-V MESSAGE                                    Nb 3,,
CW234,(ESC T) XBT-V MESSAGE                                    Nb 3,,
CW235,(ESC T) XBT-V MESSAGE                                    Nb 4,,
CW236,(ESC T) XBT-V MESSAGE                                    Nb 4,,
CW237,(ESC T) XBT-V MESSAGE                                    Nb 4,,
CW238,(ESC T) XBT-V MESSAGE                                    Nb 4,,
CW239,(ESC T) XBT-V MESSAGE                                    Nb 4,,
CW240,(ESC T) XBT-V MESSAGE                                    Nb 4,,
CW241,(ESC T) XBT-V MESSAGE                                    Nb 4,,
CW242,(ESC T) XBT-V MESSAGE                                    Nb 4,,
CW243,(ESC T) XBT-V MESSAGE                                    Nb 4,,
CW244,(ESC T) XBT-V MESSAGE                                    Nb 4,,
CW245,(ESC T) XBT-V MESSAGE                                    Nb 4,,
CW246,(ESC T) XBT-V MESSAGE                                    Nb 4,,
CW247,(ESC T) XBT-V MESSAGE                                    Nb 4,,
CW248,(ESC T) XBT-V MESSAGE                                    Nb 4,,
CW249,(ESC T) XBT-V MESSAGE                                    Nb 4,,
CW250,(ESC T) XBT-V MESSAGE                                    Nb 5,,
CW251,(ESC T) XBT-V MESSAGE                                    Nb 5,,
CW252,(ESC T) XBT-V MESSAGE                                    Nb 5,,
CW253,(ESC T) XBT-V MESSAGE                                    Nb 5,,
CW254,(ESC T) XBT-V MESSAGE                                    Nb 5,,
CW255,(ESC T) XBT-V MESSAGE                                    Nb 5,,
CW256,(ESC T) XBT-V MESSAGE                                    Nb 5,,
CW257,(ESC T) XBT-V MESSAGE                                    Nb 5,,
CW258,(ESC T) XBT-V MESSAGE                                    Nb 5,,
CW259,(ESC T) XBT-V MESSAGE                                    Nb 5,,
CW260,(ESC T) XBT-V MESSAGE                                    Nb 5,,
CW261,(ESC T) XBT-V MESSAGE                                    Nb 6,,
CW262,(ESC T) XBT-V MESSAGE                                    Nb 6,,
CW263,(ESC T) XBT-V MESSAGE                                    Nb 6,,
CW264,(ESC T) XBT-V MESSAGE                                    Nb 6,,
CW265,(ESC T) XBT-V MESSAGE                                    Nb 6,,
CW266,(ESC T) XBT-V MESSAGE                                    Nb 6,,
CW267,(ESC T) XBT-V MESSAGE                                    Nb 6,,
CW268,(ESC T) XBT-V MESSAGE                                    Nb 6,,
CW269,(ESC T) XBT-V MESSAGE                                    Nb 6,,
CW270,(ESC T) XBT-V MESSAGE                                    Nb 6,,
CW271,(ESC T) XBT-V MESSAGE                                    Nb 6,,
CW272,(ESC T) XBT-V MESSAGE                                    Nb 6,,
