PLC ADD ,Comment ,Unit,Mark 
CW824,,,
CW825,,,
CW826,,,
CW827,,,
CW828,,,
CW829,,,
CW830,,,
CW831,,,
CW832,,,
CW833,,,
CW834,,,
CW835,,,
CW836,,,
CW837,,,
CW838,,,
CW839,,,
CW840,,,
CW841,,,
CW842,,,
CW843,,,
CW844,,,
CW845,,,
CW846,,,
CW847,,,
CW848,,,
CW849,,,
CW850,,,
CW851,,,
CW852,,,
CW853,,,
CW854,,,
CW855,,,
CW856,,,
CW857,,,
CW858,,,
CW859,,,
CW860,,,
CW861,,,
CW862,,,
CW863,,,
CW864,,,
CW865,,,
CW866,,,
CW867,,,
CW868,,,
CW869,,,
CW870,,,
CW871,,,
CW872,,,
CW873,,,
CW874,,,
CW875,,,
CW876,,,
CW877,,,
CW878,,,
CW879,,,
CW880,,,
CW881,,,
CW882,,,
CW883,,,
CW884,,,
CW885,,,
CW886,,,
CW887,,,
CW888,,,
CW889,,,
CW890,,,
CW891,,,
CW892,,,
CW893,,,
CW894,,,
CW895,,,
CW896,,,
CW897,,,
CW898,,,
CW899,,,
CW900,,,
CW901,,,
CW902,,,
CW903,,,
CW904,,,
CW905,,,
CW906,,,
CW907,,,
CW908,,,
CW909,,,
CW910,,,
CW911,,,
CW912,,,
CW913,,,
CW914,,,
CW915,,,
CW916,,,
CW917,,,
CW918,,,
CW919,,,
CW920,,,
CW921,,,
CW922,,,
CW923,,,
CW924,,,
CW925,,,
CW926,,,
CW927,,,
CW928,,,
CW929,,,
CW930,,,
CW931,,,
CW932,,,
CW933,,,
CW934,,,
CW935,,,
CW936,,,
CW937,,,
CW938,,,
CW939,,,
CW940,,,
CW941,,,
CW942,,,
CW943,,,
CW944,,,
CW945,,,
CW946,,,
CW947,,,
CW948,,,
CW949,,,
CW950,,,
CW951,,,
CW952,,,
CW953,,,
CW954,,,
CW955,,,
CW956,,,
CW957,,,
CW958,,,
CW959,,,
CW960,,,
CW961,,,
CW962,,,
CW963,,,
CW964,,,
CW965,,,
CW966,,,
CW967,,,
CW968,,,
CW969,,,
CW970,,,
CW971,,,
CW972,,,
CW973,,,
CW974,,,
CW975,,,
CW976,,,
CW977,,,
CW978,,,
CW979,,,
CW980,,,
CW981,,,
CW982,,,
CW983,,,
CW984,,,
CW985,,,
CW986,,,
CW987,,,
CW988,,,
CW989,,,
CW990,,,
CW991,,,
CW992,,,
CW993,,,
CW994,,,
CW995,,,
CW996,,,
CW997,,,
CW998,,,
CW999,,,
CW1000,,,
CW1001,,,
CW1002,,,
CW1003,,,
CW1004,,,
CW1005,,,
CW1006,,,
CW1007,,,
CW1008,,,
CW1009,,,
CW1010,,,
CW1011,,,
CW1012,CORE SPEED MINI THRESHOLD ,100,W608
CW1013,,,
CW1014,TORGUE MOTOR COEFFICIENT,1521,W609
CW1015,,,
CW1016,"RADIUS DIFFERENCE FOR INCREASE (0,1%)",200,W611
CW1017,,,
CW1018,MINIMUM TORGUE DIFFERENCE FOR CORRENT,5,W613
CW1019,,,
CW1020,INCREASE CORRECTION TORQUE STEP,1,W614
CW1021,,,
CW1022,SPEED CONTROL SENSIBILITY,205,W620
CW1023,,,
CW1024,INCREASE RADIUS STEP ,1,W629
CW1025,,,
CW1026,PROPORTIONAL CORRECTION TORGUE COEF. ,50,W634
CW1027,,,
CW1028,TORQUE ------->  CURRENT    COEFFICIENT,278,W639
CW1029,,,
CW1030,NO LOAD CURRENT MINI SETPOINT ,190,W643
CW1031,,,
CW1032,TENSION THRESHOLD MINI FOR CORRECTION,500,W644
CW1033,,,
CW1034,CORE  OVERSPEED COMPARED TO LINE SPEED ,7,W645
CW1035,,,
CW1036,"ROLL DIAMETER MINIUM (COPY OUT W90,W91)",,"W636,W637"
CW1037,,,
CW1038,,,
CW1039,,,
CW1040,,,
CW1041,,,
CW1042,,,
CW1043,,,
CW1044,,,
CW1045,,,
CW1046,,,
CW1047,,,
CW1048,,,
CW1049,,,
CW1050,,,
CW1051,,,
CW1052,,,
CW1053,,,
CW1054,,,
CW1055,,,
CW1056,,,
CW1057,,,
CW1058,,,
CW1059,,,
CW1060,,,
CW1061,,,
CW1062,,,
CW1063,,,
CW1064,,,
CW1065,,,
CW1066,,,
CW1067,,,
CW1068,,,
CW1069,,,
CW1070,,,
CW1071,,,
CW1072,,,
CW1073,,,
CW1074,,,
CW1075,,,
CW1076,,,
CW1077,,,
CW1078,,,
CW1079,,,
CW1080,,,
CW1081,,,
CW1082,,,
CW1083,,,
CW1084,,,
CW1085,,,
CW1086,,,
CW1087,,,
CW1088,,,
CW1089,,,
CW1090,,,
CW1091,,,
CW1092,,,
CW1093,,,
CW1094,,,
CW1095,,,
CW1096,,,
CW1097,,,
CW1098,,,
CW1099,,,
CW1100,,,
CW1101,,,
CW1102,,,
CW1103,,,
CW1104,,,
CW1105,,,
CW1106,,,
CW1107,,,
CW1108,,,
CW1109,,,
CW1110,,,
CW1111,,,
CW1112,CORE SPEED MINI THRESHOLD ,100,W708
CW1113,,,
CW1114,TOGURE MOTOR COEFFICIENT ,1521,W709
CW1115,,,
CW1116,"RADIUS DIFFERENCE FOR INCREASE  (0,1%)",200,W711
CW1117,,,
CW1118,MINIMUM TORGUE DIFFERENCE FOR CORRECT,5,W713
CW1119,,,
CW1120,INCREASE CORRECTION TORQUE STEP,1,W714
CW1121,,,
CW1122,SPEED CONTROL SENSIBILITY,209,W720
CW1123,,,
CW1124,INCREASE RADIUS STEP ,1,W729
CW1125,,,
CW1126,PROPORTIONAL CORRECTION TORQUE COEF.,50,W734
CW1127,,,
CW1128,TORQUE ------->  CURRENT    COEFFICIENT,278,W739
CW1129,,,
CW1130,TENSION THERSHOLD MINI FOR CORRECTION,190,W744
CW1131,,,
CW1132,CORE OVERSPEED COMPARED TO LINE SPEED ,500,W745
CW1133,,,
CW1134,,7,
CW1135,,,
CW1136,,,
CW1137,,,
CW1138,,,
CW1139,,,
CW1140,,,
CW1141,,,
CW1142,,,
