,F12\BIT.DOC
B 171,SECONDARY EXT. AIR FLOW SWITCH ALARM AND INTERLOCK
B 172,SECONDARY EXT. AIR FLOW SWITCH ALARM AND INTERLOCK
B 173,SECONDARY EXT. AIR FLOW SWITCH ALARM AND INTERLOCK
B 174,FREE
B 175,FREE
B 176,FREE
B 177,FREE
B 178,FREE
B 179,FREE
B 180,FREE
B 181,FREE
B 182,FREE
B 183,FREE
B 184,FREE
B 185,FREE
B 186,FREE
B 187,FREE
B 188,FREE
B 189,FREE
B 190,FREE
B 191,FREE
B 192,FREE
B 193,FREE
B 194,FREE
B 195,FREE
B 196,FREE
B 197,FREE
B 198,FREE
B 199,FREE
B 200,DIFFERENTIAL HIGH PRESSURE ALARM SAT EXT2 DPSH STEP 0
B 201,DIFFERENTIAL HIGH PRESSURE ALARM SAT EXT2 DPSH STEP 1
B 202,DIFFERENTIAL HIGH PRESSURE ALARM SAT EXT2 DPSH STEP 2
B 203,DIFFERENTIAL HIGH PRESSURE ALARM SAT EXT2 DPSH STEP 0
B 204,DIFFERENTIAL HIGH PRESSURE ALARM SAT EXT2 DPSH STEP 1
B 205,DIFFERENTIAL HIGH PRESSURE ALARM SAT EXT2 DPSH STEP 2
B 206,LOW FLOW ALARM SAT EXT2
B 207,LOW FLOW ALARM SAT EXT2
B 208,LOW FLOW ALARM SAT EXT2
B 209,LOW PRESSURE ALARM SAT EXT2
B 210,LOW PRESSURE ALARM SAT EXT2
B 211,LOW PRESSURE ALARM SAT EXT2
B 212,SAT EXT2 HYDRAULIC GROUP
B 213,SAT EXT2 HYDRAULIC GROUP
B 214,SAT EXT2 HEATER E110
B 215,SAT EXT2 HEATER E110
B 216,SAT EXT2 HEATER E110
B 217,SAT EXT2 HEATER E111
B 218,SAT EXT2 HEATER E111
B 219,SAT EXT2 HEATER E111
B 220,SAT EXT2 HEATER E112
B 221,SAT EXT2 HEATER E112
B 222,SAT EXT2 HEATER E112
B 223,SAT EXT2 HEATER E113
B 224,SAT EXT2 HEATER E113
B 225,SAT EXT2 HEATER E113
B 226,SAT EXT2 HEATER E114
B 227,SAT EXT2 HEATER E114
B 228,SAT EXT2 HEATER E114
B 229,SAT EXT2 HEATER E115
B 230,SAT EXT2 HEATER E115
B 231,SAT EXT2 HEATER E115
B 232,SAT EXT2 HEATER E116
B 233,SAT EXT2 HEATER E116
B 234,SAT EXT2 HEATER E116
B 235,SAT EXT2 ADAPTER HEATER E117
B 236,SAT EXT2 ADAPTER HEATER E117
B 237,SAT EXT2 ADAPTER HEATER E117
B 238,SAT EXT2 FILTER HEATER E118
B 239,SAT EXT2 FILTER HEATER E118
B 240,SAT EXT2 FILTER HEATER E118
B 241,SAT EXT2 BLOWER ZONE 1
B 242,SAT EXT2 BLOWER ZONE 1
B 243,SAT EXT2 BLOWER ZONE 2
B 244,SAT EXT2 BLOWER ZONE 2
B 245,SAT EXT2 BLOWER ZONE 3
B 246,SAT EXT2 BLOWER ZONE 3
B 247,SAT EXT2 BLOWER ZONE 4
B 248,SAT EXT2 BLOWER ZONE 4
B 249,SAT EXT2 BLOWER ZONE 5
B 250,SAT EXT2 BLOWER ZONE 5
B 251,SAT EXT2 BLOWER ZONE 6
B 252,SAT EXT2 BLOWER ZONE 6
B 253,SAT EXT2 BLOWER ZONE 7
B 254,SAT EXT2 BLOWER ZONE 7
B 255,LOW LEVEL ALARM SAT EXT2
B 256,LOW LEVEL ALARM SAT EXT2
B 257,INTERLOCK SAT EXT2 NOT OK
B 258,INTERLOCK SAT EXT2 NOT OK
B 259,SAT EXT2 INTERLOCK OK
B 260,LSL 1124.03 RESET
B 261,LSL 1124.03 SET
B 262,LSL 1124.03 LAST FOR (T42) TIME
B 263,FREE
B 264,FREE
B 265,FREE
B 266,FREE
B 267,FREE
B 268,FREE
B 269,FREE
B 270,FREE
B 271,FREE
B 272,FREE
B 273,FREE
B 274,FREE
B 275,FREE
B 276,FREE
B 277,FREE
B 278,FREE
B 279,FREE
B 280,FREE
B 281,FREE
B 282,FREE
B 283,FREE
B 284,FREE
B 285,FREE
B 286,FREE
B 287,FREE
B 288,FREE
B 289,FREE
B 290,FREE
B 291,FREE
B 292,FREE
B 293,FREE
B 294,FREE
B 295,FREE
B 296,FREE
B 297,FREE
B 298,FREE
B 299,FREE
B 300,DIFFERENTIAL HIGH PRESSURE ALARM STEP 0
B 301,DIFFERENTIAL HIGH PRESSURE ALARM STEP 1
B 302,DIFFERENTIAL HIGH PRESSURE ALARM STEP 2
B 303,DIFFERENTIAL HIGH PRESSURE ALARM STEP 0
B 304,DIFFERENTIAL HIGH PRESSURE ALARM STEP 1
B 305,DIFFERENTIAL HIGH PRESSURE ALARM STEP 2
B 306,LOW FLOW ALARM
B 307,LOW FLOW ALARM
B 308,LOW FLOW ALARM    
B 309,LOW PRESSURE ALARM
B 310,LOW PRESSURE ALARM
B 311,LOW PRESSURE ALARM
B 312,VALVE SV 1200.00
B 313,VALVE SV 1200.00
B 314,VALVE SV 1200.00
B 315,HYDRAULIC GROUP
B 316,HYDRAULIC GROUP
B 317,RELEASE DEFECT FSL 1200.25
B 318,MAIN EXT1 COOLING PUMP RUNNING             M1200.05
B 319,MAIN EXT1 COOLING PUMP RUNNING FOR (T14)
B 320,LOW LEVEL ALARM LSL FROM HOPPER
B 321,LOW LEVEL ALARM LSL FROM HOPPER
B 322,LOW LEVEL ALARM LSL FROM HOPPER
B 323,MAIN EXT1 HEATER E120 STEP 0
B 324,MAIN EXT1 HEATER E120 STEP 1
B 325,MAIN EXT1 HEATER E120 STEP 2
B 326,MAIN EXT1 HEATER E121
B 327,MAIN EXT1 HEATER E121
B 328,MAIN EXT1 HEATER E121
B 329,MAIN EXT1 HEATER E122
B 330,MAIN EXT1 HEATER E122
B 331,MAIN EXT1 HEATER E122
B 332,MAIN EXT1 HEATER E123
B 333,MAIN EXT1 HEATER E123
B 334,MAIN EXT1 HEATER E123
B 335,MAIN EXT1 HEATER E124
B 336,MAIN EXT1 HEATER E124
B 337,MAIN EXT1 HEATER E124
B 338,MAIN EXT1 HEATER E125
B 339,MAIN EXT1 HEATER E125
B 340,MAIN EXT1 HEATER E125
B 341,MAIN EXT1 HEATER E126
B 342,MAIN EXT1 HEATER E126
B 343,MAIN EXT1 HEATER E126
B 344,MAIN EXT1 HEATER E127
B 345,MAIN EXT1 HEATER E127
B 346,MAIN EXT1 HEATER E127
B 347,MAIN EXT1 MELT LINE E130
B 348,MAIN EXT1 MELT LINE E130
B 349,MAIN EXT1 MELT LINE E130
B 350,MAIN EXT1 HEATER E131
B 351,MAIN EXT1 HEATER E131
B 352,MAIN EXT1 HEATER E131
B 353,MAIN EXT1 HEATER E132
B 354,MAIN EXT1 HEATER E132
B 355,MAIN EXT1 HEATER E132
B 356,MAIN EXT1 HEATER E133
B 357,MAIN EXT1 HEATER E133
B 358,MAIN EXT1 HEATER E133
B 359,MAIN EXT1 PUMP E168
B 360,MAIN EXT1 PUMP E168
B 361,MAIN EXT INTERLOCK NOT OK
B 362,MAIN EXT INTERLOCK OK
B 363,MAIN EXT1 LOW LEVEL ALARM FROM HOPPER
B 364,MAIN EXT1 LSH LEVEL ALARM FROM HOPPER
B 365,LSL MELT LINE
B 366,LSL MELT LINE
B 367,LSL MELT LINE
B 368,PRI LOST INTERLOACK WHILE RUNNING 
B 369,SEC LOST INTERLOACK WHILE RUNNING
B 370,FREE
B 371,FREE
B 372,FREE
B 373,FREE
B 374,FREE
B 375,FREE
B 376,FREE
B 377,FREE
B 378,FREE
B 379,FREE
B 380,FREE
B 381,FREE
B 382,FREE
B 383,FREE
B 384,FREE
B 385,FREE
B 386,FREE
B 387,FREE
B 388,FREE
B 389,FREE
B 390,FREE
B 391,FREE
B 392,FREE
B 393,FREE
B 394,FREE
B 395,FREE
B 396,FREE
B 397,FREE
B 398,FREE
B 399,FREE
B 400,LOW LEVEL ALARM FSL STEP 0
B 401,LOW LEVEL ALARM FSL STEP 1
B 402,LOW LEVEL ALARM FSL STEP 2
B 403,LOW PRESSURE ALARM PSL
B 404,LOW PRESSURE ALARM PSL
B 405,LOW PRESSURE ALARM PSL
B 406,DIFFERENTIAL HIGH PRESSURE ALARM DPSH
B 407,DIFFERENTIAL HIGH PRESSURE ALARM DPSH
B 408,DIFFERENTIAL HIGH PRESSURE ALARM DPSH
B 409,DIFFERENTIAL HIGH PRESSURE ALARM DPSH
B 410,DIFFERENTIAL HIGH PRESSURE ALARM DPSH
B 411,DIFFERENTIAL HIGH PRESSURE ALARM DPSH
B 412,LOW FLOW ALARM FSL
B 413,LOW FLOW ALARM FSL
B 414,LOW FLOW ALARM FSL
B 415,MAIN EXT2 HEATER E140
B 416,MAIN EXT2 HEATER E140
B 417,MAIN EXT2 HEATER E140
B 418,MAIN EXT2 HEATER E141
B 419,MAIN EXT2 HEATER E141
B 420,MAIN EXT2 HEATER E141
B 421,MAIN EXT2 HEATER E142
B 422,MAIN EXT2 HEATER E142
B 423,MAIN EXT2 HEATER E142
B 424,MAIN EXT2 HEATER E143
B 425,MAIN EXT2 HEATER E143
B 426,MAIN EXT2 HEATER E143
B 427,MAIN EXT2 HEATER E144
B 428,MAIN EXT2 HEATER E144
B 429,MAIN EXT2 HEATER E144
B 430,MAIN EXT2 HEATER E145
B 431,MAIN EXT2 HEATER E145
B 432,MAIN EXT2 HEATER E145
B 433,MAIN EXT2 HEATER E146
B 434,MAIN EXT2 HEATER E146
B 435,MAIN EXT2 HEATER E146
B 436,MAIN EXT2 HEATER E147
B 437,MAIN EXT2 HEATER E147
B 438,MAIN EXT2 HEATER E147
B 439,MAIN EXT2 HEATER E149
B 440,MAIN EXT2 HEATER E149
B 441,MAIN EXT2 HEATER E149
B 442,MAIN EXT2 HEATER E150
B 443,MAIN EXT2 HEATER E150
B 444,MAIN EXT2 HEATER E150
B 445,MAIN EXT2 HEATER E151
B 446,MAIN EXT2 HEATER E151
B 447,MAIN EXT2 HEATER E151
B 448,MAIN EXT2 HEATER E153
B 449,MAIN EXT2 HEATER E153
B 450,MAIN EXT2 HEATER E153
B 451,MAIN EXT2 HEATER E154
B 452,MAIN EXT2 HEATER E154
B 453,MAIN EXT2 HEATER E154
B 454,MAIN EXT2 HEATER E155
B 455,MAIN EXT2 HEATER E155
B 456,MAIN EXT2 HEATER E155
B 457,MAIN EXT2 HEATER E156
B 458,MAIN EXT2 HEATER E156
B 459,MAIN EXT2 HEATER E156
B 460,MAIN EXT2 HEATER E157
B 461,MAIN EXT2 HEATER E157
B 462,MAIN EXT2 HEATER E157
B 463,MAIN EXT2 HEATER E158
B 464,MAIN EXT2 HEATER E158
B 465,MAIN EXT2 HEATER E158
B 466,MAIN EXT2 HEATER E159
B 467,MAIN EXT2 HEATER E159
B 468,MAIN EXT2 HEATER E159
B 469,MAIN EXT2 INTERLOCK NOT OK
B 470,MAIN EXT2 INTERLOCK OK
B 471,HYDRAULIC STEP 0
B 472,HYDRAULIC STEP 1
B 473,FREE
B 474,FREE
B 475,FAULT OF HYDRAULIC PUMP FOR MAIN EXT2           M1231.01
B 476,M1231.01 -> START
B 477,FREE
B 478,FREE
B 479,FREE
B 480,"COPY FROM B780, START ""SAT EXT1"" EQUIPMENTS"
B 481,"COPY FROM B781, START ""EXT1 FILTER"" EQUIPMENTS"
B 482,"COPY FROM B786, START ""MAIN EXT1"" EQUIPMENTS"
B 483,"COPY FROM B788, START ""EXT1 MELT LINE"" EQUIPMENTS"
B 484,"COPY FROM B789, START ""MAIN EXT2"" EQUIPMENTS"
B 485,"COPY FROM B791, START ""MAIN EXT2 MELT LINE"" EQUIPMENTS"
B 486,"COPY FROM B792, START ""DIE"" EQUIPMENTS"
B 487,FREE
B 488,FREE
B 489,FREE
B 490,STOP MAIN EXT SV 1200.00
B 491,main extruder--->running
B 492,MAIN EXT1 -> NOT RUNNING
B 493,ALL EXT NOT RUNNING
B 494,FREE
B 495,FREE
B 496,FREE
B 497,FREE
B 498,FREE
B 499,FREE
B 500,TEMPERATURE OK SAT EXT1 ZONE 1
B 501,TEMPERATURE OK SAT EXT1 ZONE 2
B 502,TEMPERATURE OK SAT EXT1 ZONE 3
B 503,TEMPERATURE OK SAT EXT1 ZONE 4
B 504,TEMPERATURE OK SAT EXT1 ZONE 5
B 505,TEMPERATURE OK SAT EXT1 ZONE 6
B 506,TEMPERATURE OK SAT EXT1 ZONE 7
B 507,TEMPERATURE OK SAT EXT1 ADAPTER
B 508,TEMPERATURE OK SAT EXT1 FILTER
B 509,TEMPERATURE OK SAT EXT1 MELT LINE
B 510,TEMPERATURE OK SAT EXT2 ZONE 1
B 511,TEMPERATURE OK SAT EXT2 ZONE 2
B 512,TEMPERATURE OK SAT EXT2 ZONE 3
B 513,TEMPERATURE OK SAT EXT2 ZONE 4
B 514,TEMPERATURE OK SAT EXT2 ZONE 5
B 515,TEMPERATURE OK SAT EXT2 ZONE 6
B 516,TEMPERATURE OK SAT EXT2 ZONE 7
B 517,TEMPERATURE OK SAT EXT2 ADAPTER
B 518,TEMPERATURE OK SAT EXT2 FILTER
B 519,TEMPERATURE OK SAT EXT2 MELT LINE
B 520,TEMPERATURE OK MAIN EXT1 ZONE 1
B 521,TEMPERATURE OK MAIN EXT1 ZONE 2
B 522,TEMPERATURE OK MAIN EXT1 ZONE 3
B 523,TEMPERATURE OK MAIN EXT1 ZONE 4
B 524,TEMPERATURE OK MAIN EXT1 ADAPTER
B 525,TEMPERATURE OK MAIN EXT1 ADAPTER
B 526,TEMPERATURE OK MAIN EXT1 FILTER
B 527,TEMPERATURE OK MAIN EXT1 ADAPTER
B 528,FREE
B 529,FREE
B 530,TEMP MAIN EXT1 MELT LINE R330
B 531,TEMP MAIN EXT1 MELT LINE R331
B 532,TEMP MAIN EXT1 MELT LINE R332
B 533,TEMP MAIN EXT1 MELT LINE R333
B 534,FREE
B 535,FREE
B 536,FREE
B 537,FREE
B 538,FREE
B 539,FREE
B 540,TEMPERATURE OK MAIN EXT2 ZONE 1
B 541,TEMPERATURE OK MAIN EXT2 ZONE 2
B 542,TEMPERATURE OK MAIN EXT2 ZONE 3
B 543,TEMPERATURE OK MAIN EXT2 ZONE 4
B 544,TEMPERATURE OK MAIN EXT2 ADAPTER
B 545,TEMPERATURE OK MAIN EXT2 ADAPTER
B 546,TEMPERATURE OK MAIN EXT2 FILTER
B 547,TEMPERATURE OK MAIN EXT2 ADAPTER
B 548,TEMPERATURE OK MAIN EXT2 MELT LINE
B 549,TEMPERATURE OK MAIN EXT2 MELT LINE
B 550,TEMP OK MAIN EXT2 STATIC MIXER
B 551,TEMP OK MAIN EXT2 STATIC MIXER CONNECTION
B 552,FREE
B 553,FREE
B 554,TEMP OK MAIN EXT2              R352
B 555,TEMP OK DIE ZONE 1
B 556,TEMP OK DIE ZONE 2
B 557,TEMP OK DIE ZONE 3
B 558,TEMP OK DIE ZONE 4
B 559,TEMP OK DIE ZONE 5
B 560,TEMP OK DIE ZONE 6
B 561,TEMP OK DIE ZONE 7
B 562,FREE
B 563,FREE
B 564,FREE
B 565,FREE
B 566,FREE
B 567,FREE
B 568,FREE
B 569,FREE
B 570,SAT1 TEMP OK
B 571,SAT2 TEMP OK
B 572,MAIN EXT1 TEMP OK
B 573,MAIN EXT2 TEMP OK
B 574,DIE TEMP OK
B 575,FREE
B 576,FREE
B 577,FREE
B 578,FREE
B 579,FREE
B 580,FREE
B 581,FREE
B 582,FREE
B 583,FREE
B 584,FREE
B 585,FREE
B 586,FREE
B 587,FREE
B 588,FREE
B 589,FREE
B 590,FREE
B 591,FREE
B 592,FREE
B 593,FREE
B 594,FREE
B 595,FREE
B 596,FREE
B 597,FREE
B 598,FREE
B 599,FREE
B 600,FREE
B 601,FREE
B 602,FREE
B 603,FREE
B 604,FREE
B 605,FREE
B 606,SAT 1 DRYER LSH1123.02 LEVEL SWITCH LOW
B 607,LSH 1123.02 LEVEL SWITCH HIGH
B 608,LEVEL SWITCH HIGH LAST FOR (T72) TIME
B 609,FREE
