,F12\BIT.DOC
B 821,BIT START MAIN EXT1 E121
B 822,BIT START MAIN EXT1 E122
B 823,BIT START MAIN EXT1 E123
B 824,BIT START MAIN EXT1 E124
B 825,BIT START MAIN EXT1 E125
B 826,BIT START MAIN EXT1 E126
B 827,BIT START MAIN EXT1 E127
B 828,BIT START MAIN EXT1 E128
B 829,FREE
B 830,BIT START MAIN EXT1 E130
B 831,BIT START MAIN EXT1 E131
B 832,BIT START MAIN EXT1 E132
B 833,BIT START MAIN EXT1 E133
B 834,BIT START BOILER E134
B 835,FREE
B 836,FREE
B 837,FREE
B 838,FREE
B 839,FREE
B 840,BIT START MAIN EXT2 E140
B 841,BIT START MAIN EXT2 E141
B 842,BIT START MAIN EXT2 E142
B 843,BIT START MAIN EXT2 E143
B 844,BIT START MAIN EXT2 E144
B 845,BIT START MAIN EXT2 E145
B 846,BIT START MAIN EXT2 E146
B 847,BIT START MAIN EXT2 E147
B 848,BIT START MAIN EXT2 E148
B 849,BIT START MAIN EXT2 E149
B 850,BIT START MAIN EXT2 E150
B 851,BIT START MAIN EXT2 E151
B 852,BIT TO SET BIT B771 (NOT USED)
B 853,BIT START DIE HEATER ZONE 1 E153
B 854,BIT START DIE HEATER ZONE 2 E154
B 855,BIT START DIE HEATER ZONE 3 E155
B 856,BIT START DIE HEATER ZONE 4 E156
B 857,BIT START DIE HEATER ZONE 5 E157
B 858,BIT START DIE HEATER ZONE 6 E158
B 859,BIT START DIE HEATER ZONE 7 E159
B 860,FREE
B 861,FREE
B 862,BIT START VALVE SV SAT EXT1 R309
B 863,BIT START VALVE SV SAT EXT2 R310
B 864,BIT START VALVE SV SAT EXT2 R348
B 865,BIT START VALVE SV SAT EXT2 R349
B 866,FREE
B 867,FREE
B 868,FREE
B 869,FREE
B 870,FAULT VIEW STORAGE EXTRUDER FOR KLAXON
B 871,FAULT VIEW STORAGE SAT1 EXTRUDER FOR KLAXON
B 872,FAULT VIEW STORAGE SAT2 EXTRUDER FOR KLAXON
B 873,LOW LEVEL ALARM FOR PCC MAIN LOADING FOR KLAXON
B 874,LOW LEVEL ALARM FOR PCC MAIN EXTRUDER LOW LEVEL ALARM FOR KLAXON
B 875,SAT2 MAGUIRE ALARM
B 876,FREE
B 877,FREE
B 878,FREE
B 879,FREE
B 880,FREE
B 881,FREE
B 882,FREE
B 883,FREE
B 884,FREE
B 885,FREE
B 886,FREE
B 887,FREE
B 888,FREE
B 889,FREE
B 890,FREE
B 891,FREE
B 892,FREE
B 893,FREE
B 894,FREE
B 895,FREE
B 896,FREE
B 897,FREE
B 898,FREE
B 899,SY6--->B899
B 900,PRIMARY EXTRUDER INTERLOCK FAILURE BITS FROM BLENDING
B 901,FAILURE BIT FOR LOW PRESSURE (B311) FOR MAIN EXT.
B 902,FREE
B 903,FAILURE BIT FOR LOW FLOW (B308) FOR MAIN EXT.
B 904,FAILURE BIT FOR P511 HIGH ALARM FOR MAIN EXTRUDER
B 905,FAILURE BIT FOR P512 HIGH ALARM FOR MAIN EXTRUDER
B 906,FAILURE BIT FOR PROCESS STOP (F29) FOR MAIN EXTRUDER
B 907,FAILURE BIT FOR COOLING PUMP FOR MAIN EXTRUDER
B 908,FAILURE BIT FOR PROCESS STOP FOR MAIN EXTRUDER
B 909,FAILURE BIT FOR FEEDING VALVE OPEN (MAIN MIXER) FOR MAIN EXTRUDER
B 910,FAILURE BIT FOR STANDBY EXTRUDER 1&2
B 911,FAILURE BIT FOR LOW PRESSURE ALARM (B405) FOR SECONDARY EXTRUDER
B 912,FAILURE BIT FOR LOW LEVEL ALARM FSL STEP 2 (B402)
B 913,"FIALURE BIT FOR COOLING PUMP EXT.2 (I82,B)"
B 914,"P514 ALARM HIGH (W4984,5) FOR EXT 2"
B 915,"P516 ALARM HIGH (W4984,B) FOR EXT 2"
B 916,FAILURE BIT FOR PROCESS STOP (F29) FOR EXT. 2
B 917,"FAILURE BIT FOR EMERGENCY STOP (I97,F) FOR EXT 2"
B 918,FAILURE BIT FOR FEEDING VALVE OPEN (MAIN MIXER) FOR EXT 2
B 919,"FAILURE BIT FOR STANDBY EXTRUDER 1&2 (W4621,5)"
B 920,FAILURE BIT FOR LOW FLOW (B114) FOR SAT 1
B 921,"FAILURE BIT FOR P501 ALARM HIGH (W4982,4) FOR SAT 1"
B 922,"FAILURE BIT FOR P503 ALARM HIGH (4982,A) FOR SAT 1"
B 923,"FAILURE BIT FOR STANDBY MODE (W4621,3) FOR SAT 1"
B 924,FAILURE BIT FOR LOW PRESSURE ALARM (B211) FOR SAT 2
B 925,FAILURE BIT FOR LOW FLOW ALARM (B208) FOR SAT 2
B 926,"FAILURE BIT FOR P505 ALARM HIGH (W4983,0) FOR SAT 2"
B 927,FAILURE BIT FOR P507 ALARM HIGH FOR SAT 2
B 928,"FAILURE BIT FOR STANDBY MODE (W4621,4) FOR SAT 2"
B 929,FREE
B 930,FAILURE BIT FOR LOW PRESSURE ALARM (B111) FOR SAT 1
B 931,EXTRUDERS RUNNING CHECK (FAILURE BITS) FOR SECONDARY EXT.
B 932,EXTRUDERS RUNNING CHECK (FAILURE BITS) FOR SAT 1
B 933,EXTRUDERS RUNNING CHECK (FAILURE BITS) FOR SAT 2
B 934,MDO DANCER ROLL REACHES BOTTOM
B 935,FREE
B 936,FREE
B 937,FREE
B 938,FAILURE BIT LOSING INTERLOCK (B362) FOR PRIMARY EXT.
B 939,FREE
B 940,FREE
B 941,FREE
B 942,FREE
B 943,FREE
B 944,FREE
B 945,FREE
B 946,FREE
B 947,FREE
B 948,FREE
B 949,FREE
B 950,FOREMOST BLENDING SYSTEM; SYSTEM ALARM
B 951,FREE
B 952,FREE
B 953,FREE
B 954,FREE
B 955,FREE
B 956,FREE
B 957,FREE
B 958,FREE
B 959,FREE
B 960,FREE
B 961,FREE
B 962,FREE
B 963,FREE
B 964,FREE
B 965,FREE
B 966,FREE
B 967,FREE
B 968,FREE
B 969,FREE
B 970,FREE
B 971,FREE
B 972,FREE
B 973,FREE
B 974,FREE
B 975,FREE
B 976,FREE
B 977,FREE
B 978,FREE
B 979,FREE
B 980,FREE
B 981,FREE
B 982,FREE
B 983,FREE
B 984,FREE
B 985,FREE
B 986,FREE
B 987,FREE
B 988,FREE
B 989,FREE
B 990,FREE
B 991,FREE
B 992,FREE
B 993,FREE
B 994,FREE
B 995,FREE
B 996,FREE
B 997,FREE
B 998,FREE
B 999,FREE
B 1000,FREE
B 1001,HOPPER #1 AUGER MOTOR RUN           CONAIR BLENDER
B 1002,HOPPER #2 AUGER MOTOR RUN           AFTER B1001
B 1003,HOPPER #3 AUGER MOTOR RUN 
B 1004,HOPPER #4 AUGER MOTOR RUN 
B 1005,HOPPER #5 AUGER MOTOR RUN 
B 1006,FREE
B 1007,FREE
B 1008,FREE
B 1009,FREE
B 1010,FREE
B 1011,HOPPER #1 CALLING RESIN
B 1012,HOPPER #2 CALLING RESIN
B 1013,HOPPER #3 CALLING RESIN
B 1014,HOPPER #4 CALLING RESIN
B 1015,HOPPER #5 CALLING RESIN
B 1016,MIXING  HOPPER  FULL 
B 1071,START SYSTEM FOR HOPPER #1
B 1072,START SYSTEM FOR HOPPER #2
B 1073,START SYSTEM FOR HOPPER #3
B 1074,START SYSTEM FOR HOPPER #4
B 1075,START SYSTEM FOR HOPPER #5
,
B 1100,START SYSTEM WHEN IS AUTO START
B 1101,AUTO START THE SYSTEM
B 1102,SYSTEM RUNNING MAX. SPEED
B 1103,SYSTEM RUNNING LINE SPEED
B 1104,SYSTEM RUNNING MIN. SPEED
B 1105,RUNNING LINE SPEED
B 1106,STOP SYSTEM
,
B 1111,HOPPER #1 IS FILLING
B 1112,HOPPER #2 IS FILLING
B 1113,HOPPER #3 IS FILLING
B 1114,HOPPER #4 IS FILLING
B 1115,HOPPER #5 IS FILLING
,
B 1121,HOPPER #1 IS CALLING RESIN WHILE OVER 100 LBS
B 1122,HOPPER #2 IS CALLING RESIN WHILE OVER 100 LBS
B 1123,HOPPER #3 IS CALLING RESIN WHILE OVER 100 LBS
B 1124,HOPPER #4 IS CALLING RESIN WHILE OVER 100 LBS
B 1125,HOPPER #5 IS CALLING RESIN WHILE OVER 100 LBS
,
B 1211,HOPPER #1 VACUUM VALVE OPEN
B 1212,HOPPER #1 DUMP VALVE OPEN
B 1213,HOPPER #2 VACUUM VALVE OPEN
B 1214,HOPPER #2 DUMP VALVE OPEN
B 1215,HOPPER #3 VACUUM VALVE OPEN
B 1216,HOPPER #3 DUMP VALVE OPEN
B 1217,HOPPER #4 VACUUM VALVE OPEN
B 1218,HOPPER #4 DUMP VALVE OPEN
B 1219,HOPPER #5 VACUUM VALVE OPEN
B 1220,HOPPER #5 DUMP VALVE OPEN
,
B 1400,HOPPER #1 IS CALLING RESIN
B 1401,HOPPER #2 IS CALLING RESIN
B 1402,HOPPER #3 IS CALLING RESIN
B 1403,HOPPER #4 IS CALLING RESIN
B 1404,HOPPER #5 IS CALLING RESIN
,
B 1410,HOPPER #1 IS CALLING RESIN
B 1411,HOPPER #2 IS CALLING RESIN
B 1412,HOPPER #3 IS CALLING RESIN
B 1413,HOPPER #4 IS CALLING RESIN
B 1414,HOPPER #5 IS CALLING RESIN
B 1415,TOP VIEW ALARM
,
B 1950,RUN SYSTEM
B 1990,CALIBRATION
,
,
,TEMPERATURE CONTROL 16 BIT
,
B 2000,"AUTO/MANU (MANU -> ""1"")"
B 2001,LOCKED
B 2002,ALARM H+ OR L- (TEMPERATURE CONTROL OUT OF RANGE)
B 2003,ALARM H
B 2004,ALARM L
B 2005,DEFECT MEASURE
B 2006,BIT ALL ALARMS (B2004+B2003+B2002+B2005)--->B2006
B 2007,FAULT CONTROL LOOP
B 2008,FREE
B 2009,SAMPLE TIME SELECT (60 OR 1)
B 2010,START CONTROL LOOP
B 2011,REVERSE CONTROL LOOP
B 2012,FREE
B 2013,BIT OUTPUT 100;-100
B 2014,FREE
B 2015,TEMPERATURE NO DEFECT (OK)
,
,
,
,
B 2200,AUTHORIZATION TO START SCREW AND ROTATING ARM
B 2201,OUTPUT % OF R200 IS >70% OR <45%
,
,
,
,
,
,
,
,
,
,
,
,
