PLC ADR,ALIAS TO ,DESCRIPTION,UNIT,,,,,
W[113],,SPEED MAXI CR,"xxx,xRpm",,,,,
W[114],,RATIO MAXI EXT1/EXT2,"x,xxx",,,,,
W[115],,FREE,,,,,,
W[116],,FREE,,,,,,
W[117],,SPEED SET POINT EXT2,"xxx,xRpm",,,,,
W[118],,SPEED SET POINT SAT1,"xxx,xRpm",,,,,
W[119],,SPEED SET POINT SAT2,"xxx,xRpm",,,,,
W[120],,SPEED SET POINT CR,"xxx,xRpm",,,,,
W[121],,FRICTION RATIO EXT1/EXT2,"x,xxx",,,,,
W[122],,FRICTION MDO1/CR,"x,xxx",,,,,
W[123],,FRICTION TDO/MDO3,"x,xxx",,,,,
W[124],,FRICTION PRS1/TDO,"x,xxx",,,,,
W[125],,FRICTION PRS2/PRS1,"x,xxx",,,,,
W[126],,INTRO STRETCHING MDO2MDO1,"x,xxx",,,,,
W[127],,INTRO STRETCHING MDO3/MDO2,"x,xxx",,,,,
W[128],,LOW STRETCHING MDO2/MDO1,"x,xxx",,,,,
W[129],,LOW STRETCHING MDO3/MDO2,"x,xxx",,,,,
W[130],,PROD STRETCHING MDO2/MDO1,"x,xxx",,,,,
W[131],,PROD STRETCHING MDO3/MDO2,"x,xxx",,,,,
W[132],,SET POINT GAUGE TDO/MDO3,xxxLb,,,,,
W[133],,SET POINT RATIO CR/EXT,"x,xxx",,,,,
W[134],,SET POINT RATIO CR/SAT1,"x,xxx",,,,,
W[135],,SET POINT RATIO CR/SAT2,"x,xxx",,,,,
W[136],,FREE,,,,,,
W[137],,FREE,,,,,,
W[138],,FREE,,,,,,
W[139],,FREE,,,,,,
W[140],,FREE,,,,,,
W[141],,FREE,,,,,,
W[142],,FREE,,,,,,
W[143],,FREE,,,,,,
W[144],,FREE,,,,,,
W[145],,FREE,,,,,,
W[146],,FREE,,,,,,
W[147],,FREE,,,,,,
W[148],,FREE,,,,,,
W[149],,FREE,,,,,,
W[150],,MODE ORDER,,,,,,
W[150].0,,INTRODUCTION MODE,,,,,,
W[150].1,,LOW MODE,,,,,,
W[150].2,,PRODUCTION MODE,,,,,,
W[150].3,,HOLD STRETCHING,,,,,,
W[150].5,,$QOU$QFAULT AEM,,,,,,
W[150].6,,GAUGE IN REGULATION,,,,,,
W[150].7,,$QOR$Q AUTOMATIC MODE PERMITTED,,,,,,
W[150].8,,PRESSURE MODE EXT1,,,,,,
W[150].9,,PRESSURE MODE EXT2,,,,,,
W[150].10,,PRESSURE MODE SAT1,,,,,,
W[150].11,,PRESSURE MODE SAT2,,,,,,
W[150].12,,PRESSURE MODE PERMITTED EXT1,,,,,,
W[150].13,,PRESSURE MODE PERMITTED EXT2,,,,,,
W[150].14,,PRESSURE MODE PERMITTED SAT1,,,,,,
W[150].15,,PRESSURE MODE PERMITTED SAT2,,,,,,
W[151],,RUNNING ORDER,,,,,,
W[151].0,,ON/OFF EXT1,,,,,,
W[151].1,,ON/OFF EXT2,,,,,,
W[151].2,,ON/OFF SAT1,,,,,,
W[151].3,,ON/OFF SAT2,,,,,,
W[151].4,,ON/OFF CR,,,,,,
W[151].5,,ON/OFF MDO1,,,,,,
W[151].6,,ON/OFF MDO2,,,,,,
W[151].7,,ON/OFF MDO3,,,,,,
W[151].8,,ON/OFF TDO,,,,,,
W[151].9,,ON/OFF PRS1,,,,,,
W[151].10,,ON/OFF PRS2,,,,,,
W[151].11,,ON/OFF AUX1,,,,,,
W[151].12,,ON/OFF AUX2,,,,,,
W[151].13,,ON/OFF AUX WINDER,,,,,,
W[152],,FAULT ORDER,,,,,,
W[152].0,,DEFECT EXT1,,,,,,
W[152].1,,DEFECT EXT2,,,,,,
W[152].2,,DEFECT SAT1,,,,,,
W[152].3,,DEFECT SAT2,,,,,,
W[152].4,,DEFECT CR,,,,,,
W[152].5,,DEFECT MDO1,,,,,,
W[152].6,,DEFECT MDO2,,,,,,
W[152].7,,DEFECT MDO3,,,,,,
W[152].8,,DEFECT TDO,,,,,,
W[152].9,,DEFECT PRS1,,,,,,
W[152].10,,DEFECT PRS2,,,,,,
W[153],,FREE,,,,,,
W[154],,FREE,,,,,,
W[155],,SPEED MEASURE EXT1,"xxx,xRpm",,,,,
W[156],,SPEED MEASURE EXT2,"xxx,xRpm",,,,,
W[157],,SPEED MEASURE SAT1,"xxx,xRpm",,,,,
W[158],,SPEED MEASURE SAT2,"xxx,xRpm",,,,,
W[159],,SPEED MEASURE CR,"xxx,xFpm",,,,,
W[160],,SPEED MEASURE MDO1,"xxx,xFpm",,,,,
