ADD,ALIAS TO , DESCRIPTION,UNIT,,,
b[667],,FREE,,,,
b[668],,FREE,,,,
b[669],,FREE,,,,
b[670],,FREE,,,,
b[671],,FREE,,,,
b[672],,FREE,,,,
b[673],,FREE,,,,
b[674],,FREE,,,,
b[675],,FREE,,,,
b[676],,FREE,,,,
b[677],,FREE,,,,
b[678],,FREE,,,,
b[679],,FREE,,,,
b[680],,FREE,,,,
b[681],,FREE,,,,
b[682],,FREE,,,,
b[683],,FREE,,,,
b[684],,FREE,,,,
b[685],,FREE,,,,
b[686],,FREE,,,,
b[687],,FREE,,,,
b[688],,FREE,,,,
b[689],,FREE,,,,
b[690],,FREE,,,,
b[691],,FREE,,,,
b[692],,FREE,,,,
b[693],,FREE,,,,
b[694],,FREE,,,,
b[695],,FREE,,,,
b[696],,FREE,,,,
b[697],,FREE,,,,
b[698],,FREE,,,,
b[699],,FREE,,,,
b[999],,TDO CURRENT > 310 AMPS MORE THAN 1 MIN  (L3),,,,
b[2900],,E-STOP,,,,
b[2901],,EXT1 NOT RUN,,,,
b[2902],,DEFECT + D. I EXT1,,,,
b[2903],,DEFECT + D. I C.R.,,,,
b[2904],,UNLOCK EXT2,,,,
b[2905],,EXT1 STOP,,,,
b[2906],,EMERGENCY STOP MEMORY,,,,
b[2907],,ORDER RUN EXT2,,,,
b[2908],,DEFECT + D. I EXT2,,,,
b[2909],,DEFECT + D. I CR,,,,
b[2910],,EXT2 STOP,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
