ADD,ALIAS TO , DESCRIPTION,UNIT,,,
b[152],,STOP SEQUENCE MEMORY AUX1,,,,
b[153],,STOP SEQUENCE MEMORY AUX2,,,,
b[154],,STOP SEQUENCE MEMORY WINDER,,,,
b[155],,FREE,,,,
b[156],,FREE,,,,
b[157],,STOP PRS1,,,,
b[158],,STOP PRS2,,,,
b[159],,STOP WINDER AUX,,,,
b[160],,FREE,,,,
b[161],,START SEQUENCE MEMORY EXT1,,,,
b[162],,START SEQUENCE MEMORY EXT2,,,,
b[163],,START SEQUENCE MEMORY SAT1,,,,
b[164],,START SEQUENCE MEMORY SAT2,,,,
b[165],,START SEQUENCE MEMORY CR,,,,
b[166],,START SEQUENCE MEMORY MDO1,,,,
b[167],,START SEQUENCE MEMORY MDO2,,,,
b[168],,START SEQUENCE MEMORY MDO3,,,,
b[169],,START SEQUENCE MEMORY TDO,,,,
b[170],,START SEQUENCE MEMORY PRS1,,,,
b[171],,START SEQUENCE MEMORY PRS2,,,,
b[172],,START SEQUENCE MEMORY AUX1,,,,
b[173],,START SEQUENCE MEMORY AUX2,,,,
b[174],,START SEQUENCE MEMORY WINDER,,,,
b[175],,FREE,,,,
b[176],,FREE,,,,
b[177],,FREE,,,,
b[178],,FREE,,,,
b[179],,FREE,,,,
b[180],,FREE,,,,
b[181],,DEFECT MEMORY EXT1,,,,
b[182],,DEFECT MEMORY EXT2,,,,
b[183],,DEFECT MEMORY SAT1,,,,
b[184],,DEFECT MEMORY SAT2,,,,
b[185],,DEFECT MEMORY CR,,,,
b[186],,DEFECT MEMORY MDO1,,,,
b[187],,DEFECT MEMORY MDO2,,,,
b[188],,DEFECT MEMORY MDO3,,,,
b[189],,DEFECT MEMORY TDO,,,,
b[190],,DEFECT MEMORY PRS1,,,,
b[191],,DEFECT MEMORY PRS2,,,,
b[192],,DEFECT MEMORY AUX1,,,,
b[193],,DEFECT MEMORY AUX2,,,,
b[194],,DEFECT MEMORY WINDER,,,,
b[195],,WEB BREAK,,,,
b[196],,FREE,,,,
b[197],,FREE,,,,
b[198],,FREE,,,,
b[199],,FREE,,,,
b[200],,FREE,,,,
b[201],,FREE,,,,
b[202],,FREE,,,,
b[203],,FREE,,,,
b[204],,FREE,,,,
b[205],,FORWARD MANUAL CR,,,,
b[206],,FORWARD MANUAL MDO1,,,,
b[207],,FORWARD MANUAL MDO2,,,,
b[208],,FORWARD MANUAL MDO3,,,,
b[209],,FREE,,,,
b[210],,FORWARD MANUAL PRS1,,,,
b[211],,FORWARD MANUAL PRS2,,,,
b[212],,FREE,,,,
b[213],,FREE,,,,
b[214],,FREE,,,,
b[215],,FREE,,,,
b[216],,FREE,,,,
b[217],,FREE,,,,
b[218],,FREE,,,,
b[219],,FREE,,,,
b[220],,FREE,,,,
b[221],,FREE,,,,
b[222],,FREE,,,,
b[223],,FREE,,,,
b[224],,FREE,,,,
b[225],,BACKWARD MANUAL CR,,,,
b[226],,BACKWARD MANUAL MDO1,,,,
b[227],,BACKWARD MANUAL MDO2,,,,
b[228],,BACKWARD MANUAL MDO3,,,,
b[229],,FREE,,,,
b[230],,BACKWARD MANUAL PRS1,,,,
b[231],,BACKWARD MANUAL PRS2,,,,
b[232],,FREE,,,,
b[233],,FREE,,,,
b[234],,FREE,,,,
b[235],,FREE,,,,
b[236],,FREE,,,,
b[237],,FREE,,,,
b[238],,FREE,,,,
b[239],,FREE,,,,
b[240],,FREE,,,,
b[241],,FREE,,,,
b[242],,FREE,,,,
b[243],,FREE,,,,
b[244],,FREE,,,,
b[245],,MANUAL MEMORY CR,,,,
b[246],,MANUAL MEMORY MDO1,,,,
b[247],,MANUAL MEMORY MDO2,,,,
b[248],,MANUAL MEMORY MDO3,,,,
b[249],,MANUAL MEMORY TDO,,,,
b[250],,MANUAL MEMORY PRS1,,,,
b[251],,MANUAL MEMORY PRS2,,,,
b[252],,FREE,,,,
b[253],,FREE,,,,
b[254],,FREE,,,,
b[255],,FREE,,,,
b[256],,FREE,,,,
b[257],,FREE,,,,
b[258],,FREE,,,,
b[259],,FREE,,,,
b[260],,FREE,,,,
b[261],,FREE,,,,
b[262],,FREE,,,,
b[263],,FREE,,,,
b[264],,FREE,,,,
b[265],,REQUEST STOP IN MANUAL CR,,,,
b[266],,REQUEST STOP IN MANUAL MDO1,,,,
