PLC ADR,ALIAS TO ,DESCRIPTION,UNIT,
CW[124],,CONFIGURATION SCM U-T-1,0,
CW[125],,CONFIGURATION SCM U-T-2,H'5004',
CW[126],,CONFIGURATION SCM U-T-2,0,
CW[127],,CONFIGURATION SCM U-T-2,9600,
CW[128],,CONFIGURATION SCM U-T-2,10,
CW[129],,CONFIGURATION SCM U-T-2,0,
CW[130],,CONFIGURATION SCM U-T-3,H'5003',
CW[131],,CONFIGURATION SCM U-T-3,0,
CW[132],,CONFIGURATION SCM U-T-3,9600,
CW[133],,CONFIGURATION SCM U-T-3,10,
CW[134],,CONFIGURATION SCM U-T-3,0,
CW[135],,FREE,,
CW[136],,FREE,,
CW[137],,FREE,,
CW[138],,FREE,,
CW[139],,FREE,,
CW[140],,"SEND FOR U-T-1,2,3",H'0668',
CW[143],,"SEND FOR U-T-1,2,3  (L2)",85,
CW[144],,"SEND FOR U-T-1,2,3  (L2)",5,
CW[145],,FREE,,
CW[146],,FREE,,
CW[147],,FREE,,
CW[148],,FREE,,
CW[149],,FREE,,
CW[150],,FREE,,
CW[151],,FREE,,
CW[152],,FREE,,
CW[153],,FREE,,
CW[154],,FREE,,
CW[155],,FREE,,
CW[156],,FREE,,
CW[157],,FREE,,
CW[158],,FREE,,
CW[159],,FREE,,
CW[160],,"TXT4,M AEM 811/04",H'0463',
CW[161],,"TXT4,M AEM 811/05",H'0563',
CW[162],,FREE,,
CW[163],,FREE,,
CW[164],,FREE,,
CW[165],,FREE,,
CW[166],,FREE,,
CW[167],,FREE,,
CW[168],,FREE,,
CW[170],,PRESET TIME FOR STOP PRS1   ORIG 100,,
CW[171],,PRESET TIME FOR STOP PRS2   ORIG 100,,
CW[172],,PRESET TIME FOR STOP WINDER AUX,,
CW[173],,FREE,,
CW[174],,FREE,,
CW[175],,FREE,,
CW[176],,FREE,,
CW[177],,FREE,,
CW[178],,FREE,,
CW[179],,FREE,,
CW[180],,FREE,,
CW[181],,FREE,,
CW[182],,FREE,,
CW[183],,FREE,,
CW[184],,FREE,,
CW[185],,FREE,,
CW[186],,FREE,,
CW[187],,FREE,,
CW[188],,FREE,,
CW[189],,FREE,,
CW[190],,FREE,,
CW[191],,FREE,,
CW[192],,FREE,,
CW[193],,FREE,,
CW[194],,FREE,,
CW[195],,FREE,,
CW[196],,FREE,,
CW[197],,FREE,,
CW[198],,FREE,,
CW[199],,FREE,,
CW[200],,FREE,,
CW[201],,FREE,,
CW[202],,FREE,,
CW[203],,FREE,,
CW[204],,FREE,,
CW[205],,FREE,,
CW[206],,FREE,,
CW[207],,FREE,,
CW[208],,FREE,,
CW[209],,FREE,,
CW[210],,SCALE DIVIDER FOR SPEED EXT1,RpM -> .1RpM,
CW[211],,SCALE DIVIDER FOR SPEED EXT2,RpM -> .1RpM,
CW[212],,SCALE DIVIDER FOR SPEED SAT1,RpM -> .1RpM,
CW[213],,SCALE DIVIDER FOR SPEED SAT2,RpM -> .1RpM,
CW[214],,SCALE DIVIDER FOR SPEED CR,RpM -> .1FpM,
