,F13 I/O LIST,,
,,,
,F13\INPUTBIT.DOC,,
I/O,DESCRIPTION,SYMBOL,PAGE #
WORD,,,(DRAW')
"I84,8",ROLL #1 LOW POS.                         MDO,ZSL1402-04,81
"I84,9",ROLL #1 MIDDLE POS.                      MDO,ZSM1402-05,81
"I84,A",ROLL #1 INTER POS.                       MDO,ZSI1402-06,81
"I84,B",ROLL #1 HIGH POS.                        MDO,ZSH1402-07,81
"I84,C",ROLL #2 LOW POS.                         MDO,ZSL1402-08,81
"I84,D",ROLL #2 MIDDLE POS.                      MDO,ZSM1402-09,81
"I84,E",ROLL #2 INTER POS.                       MDO,ZSI1402-10,81
"I84,F",ROLL #2 HIGH POS.                        MDO,ZSH1402-11,81
,,,
"I85,0","COR. ELECTRODE 1 IN POS., R SIDE         PRS",ZSH1820-08,84
"I85,1",COR. ELECTRODE 1 PRESSURE                PRS,PSL1820-09,84
,"(INSTALLED, BUT DOESN'T WORK)",,
"I85,2","COR. ELECTRODE 1 IN POS., L SIDE         PRS",ZSH1820-10,84
"I85,3","COR. ELECTRODE 3 IN POS., R SIDE         PRS",ZSH1820-12,84
"I85,4",COR. ELECTRODE 3 PRESSURE                PRS,PSL1820-14,84
,"(INSTALLED, BUT DOESN'T WORK)",,
"I85,5","COR. ELECTRODE 3 IN POS., L SIDE         PRS",ZSH1820-13,84
,PRS WEB DETECTOR,,
"I85,6","COR. ELECTRODE 2 IN POS., R SIDE         PRS",ZSL1820-17,84
,PRS WEB DETECTOR,,
"I85,7","COR. ELECTRODE 2 IN POS., L SIDE         PRS",ZSL1820-18,84
"I85,8",COR. ELECTRODE 2 PRESSURE PRS,PSL1820-19,85
,"(INSTALLED, BUT DOESN'T WORK)",,
"I85,9",EXTRAC. FLOW #1                          PRS,FSL1831-06,85
"I85,A",EXTRAC. FLOW #3                          PRS,FSL1831-07,85
"I85,B","AUX. WINDER 3, AIR PRESSURE LOW          PRS",PSL1860-,85
"I85,C",(FREE),,85
"I85,D",WEB BREAK DETECTOR                       PRS,ZT1840-10,85
