PLC ADD,COMMENT ,,Unit ,Mark 
W144,100/INTEGRAL COEFFICIENT,DW,SR7,
W145,100/INTEGRAL COEFFICIENT,DW,SR7,
W146,100/PROPORTIONAL  COEFFICIENT (<0),,SR7,
W147,FREE,,SR7,
W148,FREE,,SR7,
W149,100/GENERAL COEFFICIENT ,,SR7,
W150,PID OUTPUT ,DW,SR7,
W151,PID OUTPUT ,DW,SR7,
W152,MEASURE SETPOINT ,DW,SR7,
W153,MEASURE SETPOINT ,DW,SR7,
W154,PROPORTIONAL ACTION ,DW,SR7,
W155,PROPORTIONAL ACTION ,DW,SR7,
W156,INTEGRAL ACTION ,DW,SR7,
W157,INTEGRAL ACTION ,DW,SR7,
W158,FREE,,,
W159,FREE,,,
W160,FREE,,,
W161,FREE,,,
W162,FREE,,,
W163,FREE,,,
W164,FREE,,,
W165,FREE,,,
W166,FREE,,,
W167,FREE,,,
W168,COPY OUT W245 at t-1,,,
W169,COPY OUT W245 at t-1,,,
W170,CALCULATION WORD ,,,
W171,CALCULATION WORD ,,,
W172,CALCULATION WORD ,,,
W173,CALCULATION WORD ,,,
W174,CALCULATION WORD ,,,
W175,CALCULATION WORD ,,,
W176,CALCULATION WORD ,,,
W177,CALCULATION WORD ,,,
W178,CALCULATION WORD ,,,
W179,CALCULATION WORD ,,,
W180,CORE A SPEED ,,XBT-V PAGE1,
W181,CORE A CURRENT ,,XBT-V PAGE1,
W182,CORE B SPEED ,,XBT-V PAGE1,
W183,CORE B CURRENT ,,XBT-V PAGE1,
W184,CONTACT ROLL SPEED ,,XBT-V PAGE1,
W185,CONTACT ROLL CURRENT,,XBT-V PAGE1,
W186,LINE SPEED ,,XBT-V PAGE1,
W187,FREE,,,
W188,CONTACT FORCE MAST PRL L20+2,,XBT-V PAGE1,
W189,CONTACT ROLL DRAW ,,XBT-V PAGE2,
W190,LENGTH SETPOINT ,,XBT-V PAGE2,
W191,LENGTH MEASURE,,XBT-V PAGE2,
W192,LENGTH MINI,,XBT-V PAGE2,
W193,LENGTH MAXI,,XBT-V PAGE2,
W194,ROLL  DIAMETER ,,XBT-V PAGE2,
W195,TENSION ,,XBT-V PAGE2,
W196,CONTACT FORCE,,XBT-V PAGE2,
W197,LINE SPEED ,,XBT-V PAGE2,
W198,WINDING DENSITY ,,XBT-V PAGE2,
W199,THICKNESS,,,
W200,CARRIAGE CONTROL ,,XBT-V PAGE2,
W201,LENGTH SETPOINT ,,XBT-V PAGE3,
W202,SET VALUE ,,XBT-V PAGE3,
W203,GRAPH BASE Nb,,XBT-V PAGE3,
W204,TENSION VALUE ,,XBT-V PAGE3,
W205,GRAPH BASE VALUE ,,XBT-V PAGE3,
W206,TENSION MAX & TENSION MAX/2,,XBT-V PAGE3,
W207,LENGTH GRAPH BASE ,,XBT-V PAGE3,
W208,TRANSFER  TENSION ,,XBT-V PAGE3,
W209,LENGTH VALUE,,XBT-V PAGE3,
W210,GRAPH BASE Nb 1 VALUE ,,XBT-V PAGE3,
W211,GRAPH BASE Nb 2 VALUE ,,XBT-V PAGE3,
W212,GRAPH BASE Nb 3 VALUE ,,XBT-V PAGE3,
W213,GRAPH BASE Nb 4 VALUE ,,XBT-V PAGE3,
W214,GRAPH BASE Nb 5 VALUE ,,XBT-V PAGE3,
W215,GRAPH BASE Nb 6 VALUE ,,XBT-V PAGE3,
W216,GRAPH BASE Nb 7 VALUE ,,XBT-V PAGE3,
W217,GRAPH BASE Nb 8 VALUE ,,XBT-V PAGE3,
W218,GRAPH BASE Nb 9 VALUE ,,XBT-V PAGE3,
W219,GRAPH BASE Nb 10 VALUE ,,XBT-V PAGE3,
W220,GRAPH BASE Nb 11 VALUE ,,XBT-V PAGE3,
W221,GRAPH BASE Nb 12 VALUE ,,XBT-V PAGE3,
W222,GRAPH BASE Nb 13 VALUE ,,XBT-V PAGE3,
W223,GRAPH BASE Nb 14 VALUE ,,XBT-V PAGE3,
W224,GRAPH BASE Nb 15 VALUE ,,XBT-V PAGE3,
W225,GRAPH BASE Nb 16 VALUE ,,XBT-V PAGE3,
W226,GRAPH BASE Nb 17 VALUE ,,XBT-V PAGE3,
W227,GRAPH BASE Nb 18 VALUE ,,XBT-V PAGE3,
W228,GRAPH BASE Nb 19 VALUE ,,XBT-V PAGE3,
W229,GRAPH BASE Nb 20 VALUE ,,XBT-V PAGE3,
W230,FREE,,,
W231,FREE,,,
W232,FREE,,,
W233,FREE,,,
W234,FREE,,,
W235,FREE,,,
W236,FREE,,,
W237,FREE,,,
W238,FREE,,,
W239,FREE,,,
W240,FREE,,,
W241,GAP PRL L20+2,,,
W242,LENGTH SETPOINT ,,XBT-V PAGE4,
W243,GRAPH BASE Nb,,XBT-V PAGE4,
W244,CONTACT FORCE  SETPOINT ,,XBT-V PAGE4,
W245,FORCE SET VALUE ,,XBT-V PAGE4,
W246,CONTACT FORCE  MAX & CONTACT FORCE MAX/2 ,,XBT-V PAGE4,
W247,LENGTH GRAPH BASE ,,XBT-V PAGE4,
W248,LENGTH VALUE ,,XBT-V PAGE4,
W249,INSTANTANEOUS FORCE SETPOINT ,,XBT-V PAGE4,
W250,GRAPH BASE Nb   1   VALUE,,XBT-V PAGE4,
W251,GRAPH BASE Nb   2   VALUE,,XBT-V PAGE4,
W252,GRAPH BASE Nb   3  VALUE,,XBT-V PAGE4,
W253,GRAPH BASE Nb   4   VALUE,,XBT-V PAGE4,
W254,GRAPH BASE Nb   5   VALUE,,XBT-V PAGE4,
W255,GRAPH BASE Nb   6   VALUE,,XBT-V PAGE4,
W256,GRAPH BASE Nb   7   VALUE,,XBT-V PAGE4,
W257,GRAPH BASE Nb   8   VALUE,,XBT-V PAGE4,
W258,GRAPH BASE Nb   9   VALUE,,XBT-V PAGE4,
W259,GRAPH BASE Nb   10   VALUE,,XBT-V PAGE4,
W260,GRAPH BASE Nb   11   VALUE,,XBT-V PAGE4,
W261,GRAPH BASE Nb   12   VALUE,,XBT-V PAGE4,
W262,GRAPH BASE Nb   13   VALUE,,XBT-V PAGE4,
W263,GRAPH BASE Nb   14  VALUE,,XBT-V PAGE4,
W264,GRAPH BASE Nb   15   VALUE,,XBT-V PAGE4,
W265,GRAPH BASE Nb   16   VALUE,,XBT-V PAGE4,
W266,GRAPH BASE Nb   17   VALUE,,XBT-V PAGE4,
W267,GRAPH BASE Nb   18   VALUE,,XBT-V PAGE4,
W268,GRAPH BASE Nb   19   VALUE,,XBT-V PAGE4,
W269,GRAPH BASE Nb   20   VALUE,,XBT-V PAGE4,
W270,RELEASE DEFECTS,,,
W271,FREE,,,
W272,FREE,,,
W273,FREE,,,
W274,FREE,,,
W275,FREE,,,
W276,FREE,,,
W277,FREE,,,
W278,FREE,,,
W279,POWER SUPPLY APPEARENCE,,,
W280,CORE A SPEED ,,,
W281,CORE A CURRENT ,,,
W282,CORE B SPEED ,,,
W283,CORE B CURRENT ,,,
W284,CONTACT ROLL SPEED,,,
W285,CONTACT ROLL CURRENT ,,,
W286,LINE SPEED ,,,
W287,PRL L20+2,,,
W288,PRL L20+2,,,
W289,CONTACT  ROLL  DRAW ,,,
W290,SEE WORD BITS,,,
W291,SEE WORD BITS,,,
W292,FREE,,,
W293,FREE,,,
W294,FREE,,,
W295,"AUTOMATIC CONTROL W295,0 ",,,
W296,"AUTOMATIC CONTROL W295,0 ",,,
W297,FREE,,,
W298,SEE WORD BITS,,,
W299,SEE WORD BITS,,,
W300,PAGE Nb TO CALL  ,,,
W301,MESSAGE  Nb TO CALL ,,,
W302,MESSAGE  Nb AT  t-1,,,
W303,PAGE Nb AT t-1,,,
W304,PAGE Nb DISPLAYED,,,
W305,PAGE Nb DISPLAYED AT t-1,,,
W306,XBT-V ESC TYPE ,,,
W307,FREE,,,
W308,FREE,,,
W309,FREE,,,
W310,FREE,,,
W311,SR4 L1+1,,,
W312,SR4 L1+2,,,
W313,FREE,,,
W314,FREE,,,
W315,FREE,,,
W316,FREE,,,
W317,FREE,,,
W318,FREE,,,
W319,FREE,,,
W320,FREE,,,
W321,FREE,,,
W322,FREE,,,
W323,FREE,,,
W324,FREE,,,
W325,FREE,,,
W326,FREE,,,
W327,FREE,,,
W328,CALL PAGE (ESC P),,,
W329,SR4 L2,,,
W330,SR4 L1 (ESC P),,,
W331,SR4 L1,,,
W332,SR4 L1,,,
W333,SR4 L1,,,
W334,FREE,,,
W335,FREE,,,
W336,FREE,,,
W337,FREE,,,
W338,FREE,,,
W339,FREE,,,
W340,FREE,,,
W341,FREE,,,
W342,FREE,,,
W343,FREE,,,
W344,FREE,,,
W345,CALL MESSAGE (ESC T),,,
W346,CALL MESSAGE (ESC T),,,
W347,FREE,,,
W348,FREE,,,
W349,FREE,,,
W350,FREE,,,
W351,FREE,,,
W352,FREE,,,
W353,FREE,,,
W354,FREE,,,
W355,FREE,,,
W356,FREE,,,
W357,FREE,,,
W358,FREE,,,
W359,FREE,,,
W360,FREE,,,
W361,FREE,,,
W362,FREE,,,
W363,FREE,,,
W364,FREE,,,
W365,FREE,,,
W366,FREE,,,
W367,FREE,,,
W368,FREE,,,
W369,FREE,,,
W370,FREE,,,
W371,FREE,,,
W372,FREE,,,
W373,FREE,,,
W374,FREE,,,
W375,FREE,,,
W376,FREE,,,
W377,FREE,,,
W378,FREE,,,
W379,FREE,,,
W380,FREE,,,
W381,FREE,,,
W382,FREE,,,
W383,FREE,,,
W384,FREE,,,
W385,FREE,,,
W386,FREE,,,
W387,FREE,,,
W388,FREE,,,
W389,FREE,,,
W390,FREE,,,
W391,FREE,,,
W392,FREE,,,
W393,FREE,,,
W394,FREE,,,
W395,FREE,,,
W396,FREE,,,
W397,FREE,,,
W398,FREE,,,
W399,FREE,,,
W400,FREE,,,
W401,FREE,,,
W402,FREE,,,
W403,FREE,,,
W404,FREE,,,
W405,FREE,,,
W406,FREE,,,
W407,FREE,,,
W408,FREE,,,
W409,FREE,,,
W410,FREE,,,
W411,FREE,,,
W412,FREE,,,
W413,FREE,,,
W414,FREE,,,
W415,FREE,,,
W416,FREE,,,
W417,FREE,,,
W418,FREE,,,
W419,FREE,,,
W420,FREE,,,
W421,FREE,,,
W422,FREE,,,
W423,FREE,,,
W424,FREE,,,
W425,FREE,,,
W426,FREE,,,
W427,FREE,,,
W428,FREE,,,
W429,FREE,,,
W430,FREE,,,
W431,FREE,,,
W432,FREE,,,
W433,FREE,,,
W434,FREE,,,
W435,FREE,,,
W436,FREE,,,
W437,FREE,,,
W438,FREE,,,
W439,FREE,,,
W440,FREE,,,
W441,FREE,,,
W442,FREE,,,
W443,FREE,,,
W444,FREE,,,
W445,FREE,,,
W446,FREE,,,
W447,FREE,,,
W448,FREE,,,
W449,FREE,,,
W450,FREE,,,
W451,FREE,,,
W452,FREE,,,
W453,FREE,,,
W454,FREE,,,
W455,FREE,,,
W456,FREE,,,
W457,FREE,,,
W458,FREE,,,
W459,FREE,,,
W460,FREE,,,
W461,FREE,,,
W462,FREE,,,
W463,FREE,,,
W464,FREE,,,
W465,FREE,,,
W466,FREE,,,
W467,FREE,,,
W468,FREE,,,
W469,FREE,,,
W470,FREE,,,
W471,FREE,,,
W472,FREE,,,
W473,FREE,,,
W474,FREE,,,
W475,FREE,,,
W476,FREE,,,
W477,FREE,,,
W478,FREE,,,
W479,FREE,,,
W480,FREE,,,
W481,FREE,,,
W482,FREE,,,
W483,FREE,,,
W484,FREE,,,
W485,FREE,,,
W486,FREE,,,
W487,FREE,,,
W488,FREE,,,
W489,FREE,,,
W490,FREE,,,
W491,FREE,,,
W492,FREE,,,
W493,FREE,,,
W494,FREE,,,
W495,FREE,,,
W496,FREE,,,
W497,FREE,,,
W498,FREE,,,
W499,FREE,,,
W500,FREE,,,
W501,FREE,,,
W502,FREE,,,
W503,FREE,,,
W504,FREE,,,
W505,FREE,,,
W506,FREE,,,
W507,FREE,,,
W508,FREE,,,
W509,FREE,,,
W510,FREE,,,
W511,FREE,,,
W512,FREE,,,
W513,FREE,,,
W514,FREE,,,
W515,FREE,,,
W516,FREE,,,
W517,FREE,,,
W518,FREE,,,
W519,FREE,,,
W520,FREE,,,
W521,FREE,,,
W522,FREE,,,
W523,FREE,,,
W524,FREE,,,
W525,FREE,,,
W526,FREE,,,
W527,FREE,,,
W528,FREE,,,
W529,FREE,,,
W530,FREE,,,
W531,FREE,,,
W532,FREE,,,
W533,FREE,,,
W534,FREE,,,
W535,FREE,,,
W536,FREE,,,
W537,FREE,,,
W538,FREE,,,
W539,FREE,,,
W540,FREE,,,
W541,FREE,,,
W542,FREE,,,
W543,FREE,,,
W544,FREE,,,
W545,FREE,,,
W546,FREE,,,
W547,FREE,,,
W548,FREE,,,
W549,FREE,,,
W550,FREE,,,
W551,FREE,,,
W552,FREE,,,
W553,FREE,,,
W554,FREE,,,
W555,FREE,,,
W556,FREE,,,
W557,FREE,,,
W558,FREE,,,
W559,FREE,,,
W560,FREE,,,
W561,FREE,,,
W562,FREE,,,
W563,FREE,,,
W564,FREE,,,
W565,FREE,,,
W566,FREE,,,
W567,FREE,,,
W568,FREE,,,
W569,FREE,,,
W570,FREE,,,
W571,FREE,,,
W572,FREE,,,
W573,FREE,,,
