PLC ADD,COMMENT ,,Unit ,Mark 
W803,CONTACT ROLL CURRENT LIMITATION,,,
W804,LENGTH SETPOINT ,,,
W805,LENGTH MINI,,,
W806,LENGTH MAXI,,,
W807,TRANSFER TENSION,,,
W808,GRAPH BASE Nb 1 VALUE ,,,
W809,GRAPH BASE Nb 2 VALUE ,,,
W810,GRAPH BASE Nb 3 VALUE ,,,
W811,GRAPH BASE Nb 4 VALUE ,,,
W812,GRAPH BASE Nb 5 VALUE ,,,
W813,GRAPH BASE Nb 6 VALUE ,,,
W814,GRAPH BASE Nb 7 VALUE ,,,
W815,GRAPH BASE Nb 8 VALUE ,,,
W816,GRAPH BASE Nb 9 VALUE ,,,
W817,GRAPH BASE Nb 10 VALUE ,,,
W818,GRAPH BASE Nb 11 VALUE ,,,
W819,GRAPH BASE Nb 12 VALUE ,,,
W820,GRAPH BASE Nb 13 VALUE ,,,
W821,GRAPH BASE Nb 14 VALUE ,,,
W822,GRAPH BASE Nb 15 VALUE ,,,
W823,GRAPH BASE Nb 16 VALUE ,,,
W824,GRAPH BASE Nb 17 VALUE ,,,
W825,GRAPH BASE Nb 18 VALUE ,,,
W826,GRAPH BASE Nb 19 VALUE ,,,
W827,GRAPH BASE Nb 20 VALUE ,,,
W828,CONTACT ROLL DRAW ,,,
W829,THICKNESS,,,
W830,CONTACT ROLL DRAW,,,
W831,GRAPH BASE Nb 1 VALUE ,,,
W832,GRAPH BASE Nb 2 VALUE ,,,
W833,GRAPH BASE Nb 3 VALUE ,,,
W834,GRAPH BASE Nb 4 VALUE ,,,
W835,GRAPH BASE Nb 5 VALUE ,,,
W836,GRAPH BASE Nb 6 VALUE ,,,
W837,GRAPH BASE Nb 7 VALUE ,,,
W838,GRAPH BASE Nb 8 VALUE ,,,
W839,GRAPH BASE Nb 9 VALUE ,,,
W840,GRAPH BASE Nb 10 VALUE ,,,
W841,GRAPH BASE Nb 11 VALUE ,,,
W842,GRAPH BASE Nb 12 VALUE ,,,
W843,GRAPH BASE Nb 13 VALUE ,,,
W844,GRAPH BASE Nb 14 VALUE ,,,
W845,GRAPH BASE Nb 15 VALUE ,,,
W846,GRAPH BASE Nb 16 VALUE ,,,
W847,GRAPH BASE Nb 17 VALUE ,,,
W848,GRAPH BASE Nb 18 VALUE ,,,
W849,GRAPH BASE Nb 19 VALUE ,,,
W850,GRAPH BASE Nb 20 VALUE ,,,
W851,PRL L250+2,,,
W852,TREATMENT OF WHOLE TORQUE,,,
W853,CORRECTION TORQUE,,,
W854,TREATMENT OF INSTATANOUS CURRENT ORDER,,,
W855,MOTOR SPEED SETPOINT,,,
W856,TREATMENT OF WHOL TORQUE,,,
W857,CORRECTION TORQUE,,,
W858,TREATMENT OF INSTATANOUS CURRENT ORDER,,,
W859,MOTOR SPEED SETPOINT,,,
W860,CARRIAGE POSITION PID SETPOINT,,,
W861,CARRIAGE POSITION PID MEASURE(AVERAGE),,,
W862,FREE,,,
W863,FREE,,,
W864,FREE,,,
W865,FREE,,,
W866,FRFR,,,
W867,FREE,,,
W868,FREE,,,
W869,FREE,,,
W870,SEE WORD BITS,,,
W871,SEE WORD BITS,,,
W872,FREE,,,
W873,FREE,,,
W874,CORE A SPEED DISPLAY,,,
W875,CORE B SPEED DISPLAY,,,
W876,CONTACT ROLL SPEED,,,
W877,FREE,,,
W878,FREE,,,
W879,CORE A CURRENT ,,,
W880,CORE B SPEED DISPLAY,,,
W881,CONTACT ROLL SPEED,,,
W882,FREE,,,
W883,TREATER INPUT PARAMETERS TREATMENT,,,
W884,LENGTH MEASURE,,,
W885,TENSION,,,
W886,SET VALUE,,,
W887,CONTACT FORCE SETPOINT,,,
W888,ROLL DIA. ,,,
W889,"DENSITY TO PC1 , PC2",,,
W890,FLAME TREATER TEMPERATURE,,,
W891,MIXTURE FLOW,,,
W892,ROLL TEMP,,,
W893,GAP,,,
W894,CORONA A- SCADA,,,
W895,CORONA B- SCADA,,,
W896,CORONA C- SCADA,,,
W897,CORONA D- SCADA,,,
W898,FREE,,,
W899,FREE,,,
W900,FREE,,,
W992,LINE SPEED,,,
W993,LINE SPEED,,,
W1000,GAP/CONTACT,,,
W1003,GAP/CONTACT,,,
W1004,LENGTH SETPOINT ,,,
W1005,LENGTH MINI,,,
W1006,LENGTH MAXI,,,
W1007,TRANSFER TENSION,,,
W1008,TENSION MAX,,,
W1009,TENSION MAX/TENSION MAX 2,,,
W1010,TENSION MAX/TENSION MAX 2,,,
W1011,FREE,,,
W1012,FREE,,,
W1013,FREE,,,
W1014,FREE,,,
W1015,FREE,,,
W1016,FREE,,,
W1017,FREE,,,
W1018,FREE,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
W1390,FREE,,,
W1391,FREE,,,
W1392,FREE,,,
W1393,FREE,,,
W1394,FREE,,,
W1395,FREE,,,
W1396,ANALOG MEASURE FILTER BUFFER (SR8),,,
W1397,ANALOG MEASURE FILTER BUFFER (SR8),,,
W1398,ANALOG MEASURE FILTER BUFFER (SR8),,,
W1399,ANALOG MEASURE FILTER BUFFER (SR8),,,
W1400,ANALOG MEASURE FILTER BUFFER (SR8),,,
W1401,ANALOG MEASURE FILTER BUFFER (SR8),,,
W1402,ANALOG MEASURE FILTER BUFFER (SR8),,,
W1403,ANALOG MEASURE FILTER BUFFER (SR8),,,
W1404,ANALOG MEASURE FILTER BUFFER (SR8),,,
W1405,ANALOG MEASURE FILTER BUFFER (SR8),,,
W1406,ANALOG MEASURE FILTER BUFFER (SR8),,,
W1407,ANALOG MEASURE FILTER BUFFER (SR8),,,
W1408,ANALOG MEASURE FILTER BUFFER (SR8),,,
W1409,ANALOG MEASURE FILTER BUFFER (SR8),,,
,ANALOG MEASURE FILTER BUFFER (SR8),,,
,ANALOG MEASURE FILTER BUFFER (SR8),,,
,ANALOG MEASURE FILTER BUFFER (SR8),,,
,ANALOG MEASURE FILTER BUFFER (SR8),,,
,ANALOG MEASURE FILTER BUFFER (SR8),,,
,ANALOG MEASURE FILTER BUFFER (SR8),,,
,ANALOG MEASURE FILTER BUFFER (SR8),,,
,ANALOG MEASURE FILTER BUFFER (SR8),,,
,ANALOG MEASURE FILTER BUFFER (SR8),,,
,ANALOG MEASURE FILTER BUFFER (SR8),,,
,ANALOG MEASURE FILTER BUFFER (SR8),,,
,ANALOG MEASURE FILTER BUFFER (SR8),,,
,ANALOG MEASURE FILTER BUFFER (SR8),,,
,ANALOG MEASURE FILTER BUFFER (SR8),,,
,ANALOG MEASURE FILTER BUFFER (SR8),,,
,ANALOG MEASURE FILTER BUFFER (SR8),,,
,ANALOG MEASURE FILTER BUFFER (SR8),,,
,ANALOG MEASURE FILTER BUFFER (SR8),,,
,ANALOG MEASURE FILTER BUFFER (SR8),,,
,ANALOG MEASURE FILTER BUFFER (SR8),,,
,ANALOG MEASURE FILTER BUFFER (SR8),,,
,ANALOG MEASURE FILTER BUFFER (SR8),,,
,ANALOG MEASURE FILTER BUFFER (SR8),,,
,ANALOG MEASURE FILTER BUFFER (SR8),,,
,ANALOG MEASURE FILTER BUFFER (SR8),,,
,ANALOG MEASURE FILTER BUFFER (SR8),,,
,ANALOG MEASURE FILTER BUFFER (SR8),,,
,ANALOG MEASURE FILTER BUFFER (SR8),,,
,ANALOG MEASURE FILTER BUFFER (SR8),,,
W2190,ANALOG MEASURE FILTER BUFFER (SR8),,,
W2191,ANALOG MEASURE FILTER BUFFER (SR8),,,
W2192,ANALOG MEASURE FILTER BUFFER (SR8),,,
W2193,ANALOG MEASURE FILTER BUFFER (SR8),,,
W2194,ANALOG MEASURE FILTER BUFFER (SR8),,,
W2195,ANALOG MEASURE FILTER BUFFER (SR8),,,
W2196,ANALOG MEASURE FILTER BUFFER (SR8),,,
W2197,ANALOG MEASURE FILTER BUFFER (SR8),,,
W2198,ANALOG MEASURE FILTER BUFFER (SR8),,,
W2199,ANALOG MEASURE FILTER BUFFER (SR8),,,
