,F16\BIT.DOC,,
B 191,DEFECT MEMORY PRS 2,,
B 192,DEFECT MEMORY AUX 1,,
B 193,DEFECT MEMORY AUX 2,,
B 194,DEFECT MEMORY WINDER,,
B 195,,,
B 196,,,
B 197,,,
B 198,,,
B 199,,,
B 200,,,
B 201,,,
B 202,,,
B 203,,,
B 204,,,
B 205,FORWARD MANUAL CR,,
B 206,FORWARD MANUAL MDO 1,,
B 207,FORWARD MANUAL MDO 2,,
B 208,FORWARD MANUAL MDO 3,,
B 209,,,
B 210,FORWARD MANUAL PRS 1,,
B 211,FORWARD MANUAL PRS 2,,
B 212,,,
B 213,,,
B 214,,,
B 215,,,
B 216,,,
B 217,,,
B 218,,,
B 219,,,
B 220,,,
B 221,,,
B 222,,,
B 223,,,
B 224,,,
B 225,BACKWARD MANUAL CR,,
B 226,BACKWARD MANUAL MDO 1,,
B 227,BACKWARD MANUAL MDO 2,,
B 228,BACKWARD MANUAL MDO 3,,
B 229,,,
B 230,BACKWARD MANUAL PRS 1,,
B 231,BACKWARD MANUAL PRS 2,,
B 232,,,
B 233,,,
B 234,,,
B 235,,,
B 236,,,
B 237,,,
B 238,,,
B 239,,,
B 240,,,
B 241,,,
B 242,,,
B 243,,,
B 244,,,
B 245,MANUAL MEMORY CR,,
B 246,MANUAL MEMORY MDO 1,,
B 247,MANUAL MEMORY MDO 2,,
B 248,MANUAL MEMORY MDO 3,,
B 249,MANUAL MEMORY TDO,,
B 250,MANUAL MEMORY PRS 1,,
B 251,MANUAL MEMORY PRS 2,,
B 252,,,
B 253,,,
B 254,,,
B 255,,,
B 256,,,
B 257,,,
B 258,,,
B 259,,,
B 260,,,
B 261,,,
B 262,,,
B 263,,,
B 264,,,
B 265,REQUEST STOP IN MANUAL CR,,
B 266,REQUEST STOP IN MANUAL MDO 1,,
B 267,REQUEST STOP IN MANUAL MDO 2,,
B 268,REQUEST STOP IN MANUAL MDO 3,,
B 269,,,
B 270,REQUEST STOP IN MANUAL PRS 1,,
B 271,REQUEST STOP IN MANUAL PRS 2,,
B 272,,,
B 273,,,
B 274,,,
B 275,,,
B 276,,,
B 277,,,
B 278,,,
B 279,,,
B 280,,,
B 281,DEFECT + D.I EXT 1,,
B 282,DEFECT + D.I EXT 2,,
B 283,DEFECT + D.I SAT 1,,
B 284,DEFECT + D.I SAT 2,,
B 285,DEFECT + D.I CR,,
B 286,DEFECT + D.I MDO 1,,
B 287,DEFECT + D.I MDO 2,,
B 288,DEFECT + D.I MDO 3,,
B 289,DEFECT + D.I TDO,,
B 290,DEFECT + D.I PRS 1,,
B 291,DEFECT + D.I PRS 2,,
B 292,DEFECT + D.I AUX 1,,
B 293,DEFECT + D.I AUX 2,,
B 294,DEFECT + D.I WINDER,,
B 295,,,
B 296,,,
B 297,,,
B 298,,,
B 299,,,
B 300,NEGATIVE VALUE FROM PC (if < 0 then 0),,
B 301,NEGATIVE VALUE FROM PC (if < 0 then 0),,
B 302,NEGATIVE VALUE FROM PC (if < 0 then 0),,
B 303,NEGATIVE VALUE FROM PC (if < 0 then 0),,
B 304,NEGATIVE VALUE FROM PC (if < 0 then 0),,
B 305,NEGATIVE VALUE FROM PC (if < 0 then 0),,
B 306,NEGATIVE VALUE FROM PC (if < 0 then 0),,
B 307,NEGATIVE VALUE FROM PC (if < 0 then 0),,
B 308,NEGATIVE VALUE FROM PC (if < 0 then 0),,
B 309,NEGATIVE VALUE FROM PC (if < 0 then 0),,
B 310,NEGATIVE VALUE FROM PC (if < 0 then 0),,
B 311,NEGATIVE VALUE FROM PC (if < 0 then 0),,
B 312,NEGATIVE VALUE FROM PC (if < 0 then 0),,
B 313,NEGATIVE VALUE FROM PC (if < 0 then 0),,
B 314,NEGATIVE VALUE FROM PC (if < 0 then 0),,
B 315,NEGATIVE VALUE FROM PC (if < 0 then 0),,
B 316,VALUE > 10000 Pts (if > 10000 then 10000),,
B 317,VALUE > 10000 Pts (if > 10000 then 10000),,
B 318,VALUE > 10000 Pts (if > 10000 then 10000),,
B 319,VALUE > 10000 Pts (if > 10000 then 10000),,
B 320,VALUE > 10000 Pts (if > 10000 then 10000),,
B 321,VALUE > 10000 Pts (if > 10000 then 10000),,
B 322,VALUE > 10000 Pts (if > 10000 then 10000),,
B 323,VALUE > 10000 Pts (if > 10000 then 10000),,
B 324,VALUE > 10000 Pts (if > 10000 then 10000),,
B 325,VALUE > 10000 Pts (if > 10000 then 10000),,
B 326,VALUE > 10000 Pts (if > 10000 then 10000),,
B 327,VALUE > 10000 Pts (if > 10000 then 10000),,
B 328,VALUE > 10000 Pts (if > 10000 then 10000),,
B 329,VALUE > 10000 Pts (if > 10000 then 10000),,
B 330,VALUE > 10000 Pts (if > 10000 then 10000),,
