,FIX-DMACS DIGITAL OUTPUT/INPUT BITS,
,,
W 4607 1,DRCONLOW+1,LOW LEVEL IN HOPPER #1                 CONAIR
W 4607 2,DRCONLOW+2,LOW LEVEL IN HOPPER #2                 CONAIR
W 4607 3,DRCONLOW+3,LOW LEVEL IN HOPPER #3                 CONAIR
W 4607 4,DRCONLOW+4,LOW LEVEL IN HOPPER #4                 CONAIR
W 4607 5,DRCONLOW+5,LOW LEVEL IN HOPPER #5                 CONAIR
W 4607 6,DRCHECK+6,DOOR LOCK OPEN                         CONAIR
,DRDOORS+6,
W 4607 7,DRRECIPE+7,RECIPE UNACCEPTABLE                    CONAIR
,DRINVALID +7,
W 4607 8,,
W 4607 9,DRCONRESET+9,RESET THROUGHPUT                       CONAIR
W 4607 A,DRHIGH+10,HIGH LEVEL IN HOPPER #5                CONAIR
W 4607 B,DRHIGH+11,HIGH LEVEL IN HOPPER #1                CONAIR
W 4607 C,DRHIGH+12,HIGH LEVEL IN HOPPER #2                CONAIR
W 4607 D,DRHIGH+13,HIGH LEVEL IN HOPPER #3                CONAIR
W 4607 E,DRHIGH+14,HIGH LEVEL IN HOPPER #4                CONAIR
W 4607 F,,
,,
W 4608 0,DRCONLOW+16,LOW LEVEL IN MIXING HOPPER             CONAIR
W 4608 1,DRHIGH+17,HIGH LEVEL IN MIXING HOPPER            CONAIR
W 4608 2,DRCONAIR+18,MOTOR #1 RUN                           CONAIR
W 4608 3,DRCONAIR+19,MOTOR #2 RUN                           CONAIR
W 4608 4,DRCONAIR+20,MOTOR #3 RUN                           CONAIR
W 4608 5,DRCONAIR+21,MOTOR #4 RUN                           CONAIR
W 4608 6,DRCONAIR+22,MOTOR #5 RUN                           CONAIR
W 4608 7,DIFAM1,DEFECT OF CONAIR AUGER MOTOR #1        CONAIR
W 4608 8,DIFAM2,DEFECT OF CONAIR AUGER MOTOR #2        CONAIR
W 4608 9,DIFAM3,DEFECT OF CONAIR AUGER MOTOR #3        CONAIR
W 4608 A,DIFAM4,DEFECT OF CONAIR AUGER MOTOR #4        CONAIR
W 4608 B,DIFAM5,DEFECT OF CONAIR AUGER MOTOR #5        CONAIR
W 4608 C,DRAAMS+0,RUN SYSTEM IN MANUAL                   CONAIR
W 4608 D,DRCONAIR+29,MIXER MOTOR DEFECT                     CONAIR
W 4608 E,DRCONAIR+30,MIXER MOTOR RUN                        CONAIR
W 4608 F,,
,,
W 4609 0,DRTOO+0,HOPPER #1 FILL TOO LONG TIME           CONAIR
,DRLONG+0,
W 4609 1,DRTOO+1,HOPPER #2 FILL TOO LONG TIME           CONAIR
,DRLONG+1,
W 4609 2,DRTOO+2,HOPPER #3 FILL TOO LONG TIME           CONAIR
,DRLONG+2,
W 4609 3,DRTOO+3,HOPPER #4 FILL TOO LONG TIME           CONAIR
,DRLONG+3,
W 4609 4,DRTOO+4,HOPPER #5 FILL TOO LONG TIME           CONAIR
,DRLONG+4,
W 4609 5,DRFILL+0,HOPPER #1 - FILLING                    CONAIR
W 4609 6,DRFILL+1,HOPPER #2 - FILLING                    CONAIR
W 4609 7,DRFILL+2,HOPPER #3 - FILLING                    CONAIR
W 4609 8,DRFILL+3,HOPPER #4 - FILLING                    CONAIR
W 4609 9,DRFILL+4,HOPPER #5 - FILLING                    CONAIR
W 4609 A,,
W 4609 B,,
W 4609 C,,
W 4609 D,,
W 4609 E,,
W 4609 F,,
,,
W 4610 0,DOAMR 300,AUTO(0)/MANU(1) FOR TEMPERATURE CONTROL LOOP
W 4610 1,DOAMR 301,AUTO(0)/MANU(1)
W 4610 2,DOAMR 302,AUTO(0)/MANU(1)
W 4610 3,DOAMR 303,AUTO(0)/MANU(1)
W 4610 4,DOAMR 304,AUTO(0)/MANU(1)
W 4610 5,DOAMR 305,AUTO(0)/MANU(1)
W 4610 6,DOAMR 306,AUTO(0)/MANU(1)
W 4610 7,DOAMR 307,AUTO(0)/MANU(1)
W 4610 8,DOAMR 308,AUTO(0)/MANU(1)
W 4610 9,DOAMR 309,AUTO(0)/MANU(1)
W 4610 A,DOAMR 310,AUTO(0)/MANU(1)
W 4610 B,DOAMR 311,AUTO(0)/MANU(1)
W 4610 C,DOAMR 312,AUTO(0)/MANU(1)
W 4610 D,DOAMR 313,AUTO(0)/MANU(1)
W 4610 E,DOAMR 314,AUTO(0)/MANU(1)
W 4610 F,DOAMR 315,AUTO(0)/MANU(1)
,,
W 4611 0,DOAMR 316,AUTO(0)/MANU(1)
W 4611 1,DOAMR 317,AUTO(0)/MANU(1)
W 4611 2,DOAMR 318,AUTO(0)/MANU(1)
W 4611 3,DOAMR 319,AUTO(0)/MANU(1)
W 4611 4,DOAMR 320,AUTO(0)/MANU(1)
W 4611 5,DOAMR 321,AUTO(0)/MANU(1)
W 4611 6,DOAMR 322,AUTO(0)/MANU(1)
W 4611 7,DOAMR 323,AUTO(0)/MANU(1)
W 4611 8,DOAMR 324,AUTO(0)/MANU(1)
W 4611 9,DOAMR 325,AUTO(0)/MANU(1)
W 4611 A,DOAMR 326,AUTO(0)/MANU(1)
W 4611 B,DOAMR 327,AUTO(0)/MANU(1)
W 4611 C,,
W 4611 D,,
W 4611 E,DOAMR 330,AUTO(0)/MANU(1)
W 4611 F,DOAMR 331,AUTO(0)/MANU(1)
,,
W 4612 0,DOAMR 332,AUTO(0)/MANU(1)
W 4612 1,DOAMR 333,AUTO(0)/MANU(1)
W 4612 2,,
W 4612 3,,
W 4612 4,,
W 4612 5,,
W 4612 6,,
W 4612 7,,
