,FPC DC DRIVE PLC - F16 - INPUTS OUTPUTS,,
,,,
"O65,3",BACKWARD MDO 3,,
"O65,4",FORWARD PRS 1,,
"O65,5",BACKWARD PRS 1,,
"O65,6",FORWARD PRS 2,,
"O65,7",BACKWARD PRS 2,,
"O65,8",INTRO F42,,
"O65,9",LOW F42,,
"O65,A",PRODUCTION F42,,
"O65,B",HOLD F42,,
"O65,C",INTRO F55,,
"O65,D",LOW F55,,
"O65,E",PRODUCTION F55,,
"O65,F",HOLD F55,,
,,,
"O75,0",DANCER ROLL MDO,,
"O75,1",TDO LOW SPEED     XE01 - INTRODUCTION MODE LIGHT BARRIER PRS      ,,XE01 - INTRODUCTION MODE LIGHT BARRIER PRS
"O75,2",DANCER ROLL TDO,,
"O75,3",PRODUCTION F12,,
"O75,4",PRODUCTION F13,,
"O75,5",ROTATION CR,,
"O75,6",ROTATION MDO 1,,
"O75,7",ROTATION MDO 2,,
"O75,8",ROTATION MDO 3,,
"O75,9",FAULT TDO,,
"O75,A",PRS UP TO SPEED - XE02,,
"O75,B",JOB MODE TO F13 - XE02,,
"O75,C",WEB BREAK FOR FIFE GUIDE TREND - XE01      XE02 - INTRODUCTION MODE?,,
"O75,D",XE02 - LOW MODE?            XE01 - LOW MODE LIGHT BARRIER PRS,,XE01 - LOW MODE LIGHT BARRIER PRS
"O75,E",TENSION ROLL RUN - XE02,,
"O75,F",TENSION ROLL UNLOCK,,
,,,
"OW40,3",SPEED EXT 1 (4-20 mA),,
"OW40,4",SPEED EXT 2 (4-20 mA),,
"OW40,5",SPEED SAT 1 (4-20 mA),,
"OW40,6",SPEED SAT 2 (4-20 mA),,
,,,
"OW41,3",SPEED CR (4-20 mA),,
"OW41,4",SPEED MDO 1 (4-20 mA),,
"OW41,5",SPEED MDO 2 (4-20 mA),,
"OW41,6",SPEED MDO 3 (4-20 mA),,
,,,
"OW42,3",SPEED TDO (4-20 mA),,
"OW42,4",SPEED PRS 1 (4-20 mA),,
"OW42,5",SPEED PRS 2 (4-20 mA),,
"OW42,6",SPEED AUX 1 (4-20 mA),,
,,,
"OW43,3",SPEED AUX 2 (4-20 mA),,
"OW43,4",SPEED WINDER (4-20 mA),,
"OW43,5",(FREE),,
"OW43,6",(FREE),,
,,,
"OW44,3",TDO -> WINDER SPEED (0-10V),,
"OW44,4",SETPOINT CR -> MEASUREX,,
"OW44,5",(FREE),,
"OW44,6",(FREE),,
,,,
"IW4,3",0 = FREE; 4 = GAUGE -> CR,,
"IW4,4",1 = FREE; 5 = DANCER ROLL MDO 1,,
"IW4,5",2 = FREE; 6 = DANCER ROLL TDO,,
"IW4,6",3 = FREE; 7 = FREE,,
,,,
"IW5,3",0 = BEFORE FILTER PRESSURE EXT 1; 4 = BEFORE FILTER PRESSURE SAT 1,,
"IW5,4",1 = AFTER FILTER PRESSURE EXT 1; 5 = AFTER FILTER PRESSURE SAT 1,,
"IW5,5",2 = BEFORE FILTER PRESSURE EXT 2; 6 = BEFORE FILTER PRESSURE SAT 2,,
"IW5,6",3 = AFTER FILTER PRESSURE EXT 2; 7 = AFTER FILTER PRESSURE SAT 2,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
